trail_name,length,difficulty,city,popularity,rating,local_club,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
east copper trail #260,3.8,DIFFICULT,Prescott,0.504712042,3.3,USFS - Prescott National Forest Office,59,1573,8,18,6892,5378,Unknown,Unknown
great horned owl trail,3.2,INTERMEDIATE,Anthem,0.503664921,3.3,Cave Creek Bicycle Association,440,451,5,17,1981,1618,Unknown,Unknown
north mountain park,1,EASY/INTERMEDIATE,Catalina,0.502617801,3.3,,32,61,2,4,3735,3678,Unknown,Unknown
little butte loop,0.5,INTERMEDIATE,Tempe Junction,0.501570681,3.3,City of Phoenix - Trails and Desert Preserves,42,36,3,6,1330,1288,Leashed,Unknown
easter island trail,0.6,DIFFICULT,Prescott Valley,0.50052356,3.5,,50,96,5,13,5253,5193,Leashed,Unknown
javelina trail #332,6.9,INTERMEDIATE,Williamson,0.49947644,3.5,Prescott Mountain Bike Alliance,790,765,4,13,6011,5663,Leashed,Unknown
aspen creek trail #48,3.5,DIFFICULT,Prescott,0.498429319,3.5,USFS - Prescott National Forest Office,591,412,5,23,6801,6391,Unknown,Unknown
stronghold divide trail #279,4.7,DIFFICULT,Saint David,0.497382199,3.5,USFS - Coronado National Forest Office,827,1022,7,33,5959,4940,Unknown,Unknown
cow pies trail,0.6,DIFFICULT,Sedona,0.496335079,3.5,Verde Valley Cyclists Coalition,121,22,5,22,5150,5029,Unknown,Unknown
west trail #318,2.1,INTERMEDIATE,Prescott,0.495287958,3.5,Prescott Mountain Bike Alliance,314,111,4,19,6031,5827,Unknown,Unknown
anaconda trail,1.7,INTERMEDIATE/DIFFICULT,West Sedona,0.494240838,3.1,Verde Valley Cyclists Coalition,151,301,5,12,4697,4399,Unknown,Unknown
observatory mesa trail (loop trail: bob sizer segment),2,INTERMEDIATE,Flagstaff,0.493193717,3.5,Flagstaff Biking Organization,20,305,3,18,7380,7091,Unknown,Unknown
cougar trail,1.7,INTERMEDIATE,Apache Junction,0.492146597,3.5,AZ State Land Department,178,27,2,8,2151,2000,Unknown,Unknown
marcus landslide trail,1.5,EASY/INTERMEDIATE,Rio Verde,0.491099476,3.5,City of Scottsdale,29,286,4,8,2795,2522,Leashed,Not Allowed
quartz mine,2.8,DIFFICULT,Citrus Park,0.490052356,3.5,Maricopa County Parks,339,549,6,29,1776,1345,Leashed,Allowed
rock knob trail,1.1,EASY,Rio Verde,0.489005236,3.5,,256,1,5,7,2681,2425,Unknown,Allowed
apple blossom trail #373,1.2,INTERMEDIATE,Prescott,0.487958115,3.5,USFS - Prescott National Forest Office,193,71,4,10,5742,5552,Leashed,Unknown
military trail,1.2,INTERMEDIATE,Cave Creek,0.486910995,3.5,Maricopa County Parks,205,11,3,12,2191,1991,Unknown,Allowed
christmas tree,1.5,EASY/INTERMEDIATE,Flagstaff,0.485863874,3.5,Flagstaff Biking Organization,253,12,3,8,7281,7028,Unknown,Unknown
antelope wash ohv trail 7192,4.8,INTERMEDIATE,Kingman,0.484816754,3.5,Colorado River Area Trail Alliance,1267,36,5,19,6055,4825,Unknown,Allowed
high ridge,1.6,INTERMEDIATE/DIFFICULT,Apache Junction,0.483769634,3.5,Hawes Trail Alliance,41,512,6,18,2634,2141,Unknown,Unknown
portal trail,1,INTERMEDIATE,Drexel Heights,0.482722513,3.5,Pima County Parks and Recreation,32,40,1,5,2536,2508,Leashed,Unknown
hole in the wall trail,0.7,INTERMEDIATE/DIFFICULT,Prescott Valley,0.481675393,3.5,,166,5,5,10,5185,5024,Leashed,Unknown
ohv road #09202y,3.7,EASY/INTERMEDIATE,Lake Montezuma,0.480628272,3.5,,262,70,2,5,3868,3673,Unknown,Unknown
scenic loop,5.4,EASY,Ajo,0.479581152,3.5,BLM Arizona - Hassayampa Field Office,287,179,2,3,2093,1807,Off-leash,Unknown
juniper gate,1.2,INTERMEDIATE,Prescott,0.478534031,3.5,Prescott Mountain Bike Alliance,234,10,4,7,5814,5591,Leashed,Unknown
loop trail,1.6,INTERMEDIATE/DIFFICULT,Catalina,0.477486911,3.5,"Pima County - Natural Resources, Parks and Recreation",478,100,7,19,4245,3857,Unknown,Unknown
ringtail trail,0.6,INTERMEDIATE,Tucson Estates,0.476439791,3.5,Sonoran Desert Mountain Bicyclists,0,107,3,6,2795,2688,Unknown,Unknown
valentine well,5.5,INTERMEDIATE,Ajo,0.47539267,3.5,BLM Arizona - Hassayampa Field Office,11,236,1,3,1936,1711,Leashed,Unknown
middle teacup,0.3,DIFFICULT,West Sedona,0.47434555,3.5,,0,99,6,14,4768,4669,Unknown,Unknown
creosote trail,0.7,EASY,Tucson Estates,0.473298429,3.5,Sonoran Desert Mountain Bicyclists,29,0,1,1,2459,2430,Unknown,Unknown
mallard trail,0.3,EASY/INTERMEDIATE,Lake Montezuma,0.472251309,3.5,,3,43,3,8,3742,3700,Unknown,Unknown
upper chain breaker,1,INTERMEDIATE,Ajo,0.471204188,3.5,BLM Arizona - Yuma Field Office,43,64,2,5,2032,1974,Leashed,Unknown
sumpin' specialized,0.2,INTERMEDIATE/DIFFICULT,Ajo,0.470157068,3.5,BLM Arizona - Hassayampa Field Office,95,0,8,12,2137,2043,Leashed,Unknown
lower chain breaker overlook,0.5,EASY/INTERMEDIATE,Ajo,0.469109948,3.5,,52,14,3,5,1982,1931,Unknown,Unknown
rocky ridge,2.8,DIFFICULT,Flagstaff,0.468062827,2.9,Flagstaff Biking Organization,494,101,4,12,7587,7191,Unknown,Unknown
green mountain,3.9,VERY DIFFICULT,Tanque Verde,0.467015707,2.8,Sonoran Desert Mountain Bicyclists,431,1817,11,39,7333,5946,Unknown,Unknown
azt - passage 37 - grand canyon - south rim,22.9,EASY/INTERMEDIATE,Grand Canyon,0.465968586,3.3,USFS - Coconino National Forest Office,852,1182,2,12,7531,6608,Unknown,Unknown
wild mustang trail,3.2,DIFFICULT,Tortolita,0.464921466,3.3,,699,462,7,20,4064,3384,Unknown,Unknown
mystic trail,2.1,INTERMEDIATE,Village of Oak Creek (Big Park),0.463874346,2.7,Verde Valley Cyclists Coalition,126,173,3,8,4366,4230,Unknown,Unknown
rupp trail,1.2,INTERMEDIATE,West Sedona,0.462827225,3.1,Verde Valley Cyclists Coalition,62,204,4,10,4539,4339,Unknown,Unknown
desert tortoise,1.1,EASY/INTERMEDIATE,Anthem,0.461780105,3.1,City of Phoenix - Trails and Desert Preserves,94,50,3,6,1769,1676,Unknown,Unknown
andante,0.6,INTERMEDIATE,West Sedona,0.460732984,3.3,Verde Valley Cyclists Coalition,39,46,3,6,4678,4642,Unknown,Unknown
ridge trail (moderate),3.1,INTERMEDIATE,Casa Grande,0.459685864,3.3,Casa Grande Parks & Recreation,188,427,4,14,1764,1477,Unknown,Unknown
ocotillo hill,0.8,INTERMEDIATE,Tucson Estates,0.458638743,3.3,Sonoran Desert Mountain Bicyclists,26,54,2,6,2631,2580,Unknown,Unknown
mordor,2.5,INTERMEDIATE/DIFFICULT,Ajo,0.457591623,3.3,BLM Arizona - Hassayampa Field Office,12,190,2,4,2019,1842,Leashed,Unknown
nafta,3.1,INTERMEDIATE,Ajo,0.456544503,3.3,BLM Arizona - Hassayampa Field Office,103,149,2,4,1977,1843,Leashed,Unknown
old faithful,2.7,INTERMEDIATE,Ajo,0.455497382,3.3,BLM Arizona - Hassayampa Field Office,109,133,2,4,2046,1956,Leashed,Unknown
coldwater,3,EASY/INTERMEDIATE,Goodyear,0.454450262,3.3,Maricopa County Parks,339,101,3,8,1321,988,Unknown,Allowed
wren arena red loop trail,5.2,INTERMEDIATE,Sierra Vista,0.453403141,2.9,,552,554,4,14,5264,4922,Leashed,Unknown
cougar trail,3.1,DIFFICULT,Tucson Estates,0.452356021,3.2,Sonoran Desert Mountain Bicyclists,180,339,3,10,2913,2680,Unknown,Unknown
the spine,0.6,INTERMEDIATE,Tucson Estates,0.451308901,3.2,Sonoran Desert Mountain Bicyclists,8,77,3,6,2669,2592,Unknown,Unknown
loma trail,0.9,INTERMEDIATE,Tempe Junction,0.45026178,3.3,,82,93,4,10,1232,1173,Unknown,Unknown
upper ranch trail,2.2,INTERMEDIATE,Carefree,0.44921466,3.2,City of Scottsdale,79,127,2,7,2719,2664,Leashed,Unknown
upper cherry tank,1.6,DIFFICULT,Catalina,0.448167539,3.2,,425,23,5,23,3928,3527,Off-leash,Unknown
eagle scout,0.7,INTERMEDIATE,Kingman,0.447120419,3.3,,17,72,3,5,3679,3608,Unknown,Unknown
lower hawes,0.3,INTERMEDIATE,Fountain Hills,0.446073298,3.3,USFS - Tonto National Forest Office,2,39,2,4,1597,1561,Unknown,Unknown
lizard trail,1.8,INTERMEDIATE,Tempe Junction,0.445026178,2.8,City of Tempe - Parks,147,132,3,8,1301,1172,Unknown,Unknown
bell rock bypass,0.8,INTERMEDIATE,Village of Oak Creek (Big Park),0.443979058,2.8,Verde Valley Cyclists Coalition,113,45,4,8,4385,4273,Unknown,Unknown
highland trail,2.5,INTERMEDIATE,Kachina Village,0.442931937,3,Coconino County and the City of Flagstaff,161,183,3,11,7055,6907,Unknown,Unknown
chapel trail,0.6,DIFFICULT,Sedona,0.441884817,3,,110,98,6,16,4512,4426,Unknown,Unknown
yetman trail,6.2,DIFFICULT,Tucson Estates,0.440837696,2.8,,439,746,4,11,3133,2697,Unknown,Unknown
gadsden,6.7,EASY/INTERMEDIATE,Goodyear,0.439790576,3,Maricopa County Parks,331,373,2,10,1255,1051,Unknown,Allowed
paradise trail,1.5,INTERMEDIATE,Scottsdale,0.438743455,3,,6,322,4,13,1968,1653,Unknown,Not Allowed
big wash connector trail,2.4,EASY/INTERMEDIATE,Catalina,0.437696335,2.9,,137,2,1,2,2961,2826,Unknown,Unknown
fenceline trail,1.1,EASY,Fountain Hills,0.436649215,3,USFS - Tonto National Forest Office,16,21,1,2,1595,1574,Unknown,Unknown
levee,1.6,EASY,Apache Junction,0.435602094,3,Maricopa County Parks,0,68,1,3,1822,1754,Unknown,Allowed
loop off trail 100 east,2.6,INTERMEDIATE/DIFFICULT,Paradise Valley,0.434554974,3,City of Phoenix - Trails and Desert Preserves,166,162,2,7,1704,1549,Unknown,Unknown
arizona cypress trail,1.6,EASY/INTERMEDIATE,West Sedona,0.433507853,2.8,Verde Valley Cyclists Coalition,39,83,1,12,4437,4364,Unknown,Unknown
trail 100 - west,1.5,EASY/INTERMEDIATE,Phoenix,0.432460733,2.8,City of Phoenix - Trails and Desert Preserves,57,148,3,5,1454,1342,Unknown,Unknown
potts creek trail #327,3.1,INTERMEDIATE,Prescott,0.431413613,3,USFS - Prescott National Forest Office,258,407,4,12,6371,6091,Leashed,Unknown
tabletop,0.4,VERY DIFFICULT,West Sedona,0.430366492,3,Verde Valley Cyclists Coalition,28,36,3,6,4687,4651,Unknown,Unknown
junebug,2.3,EASY/INTERMEDIATE,Oracle,0.429319372,3,,130,68,2,4,3844,3752,Unknown,Unknown
ringtail trail,2.1,INTERMEDIATE/DIFFICULT,Fountain Hills,0.428272251,3,Maricopa County Parks,291,189,4,10,1988,1711,Unknown,Not Allowed
bobcat,1,EASY/INTERMEDIATE,Anthem,0.427225131,3,,100,0,2,3,1676,1577,Leashed,Unknown
hackamore trail,1.7,EASY,Carefree,0.42617801,3,,26,155,2,7,2734,2588,Leashed,Not Allowed
granite trail #54,0.8,EASY/INTERMEDIATE,Fountain Hills,0.42513089,3,USFS - Tonto National Forest Office,183,0,5,12,1512,1329,Leashed,Unknown
airport loop south,3.3,DIFFICULT,West Sedona,0.42408377,2.3,Verde Valley Cyclists Coalition,299,327,4,13,4723,4464,Unknown,Unknown
alta trail,4.7,DIFFICULT,Laveen,0.423036649,3,,1454,1236,11,32,2421,1341,Unknown,Allowed
little granite mountain trail #37,4.2,DIFFICULT,Williamson,0.421989529,3,USFS - Prescott National Forest Office,781,878,8,24,6550,5853,Leashed,Unknown
full loop (green),9.5,EASY/INTERMEDIATE,Prescott,0.420942408,3,,594,584,2,12,5449,5255,Leashed,Unknown
old jeep trail,1.6,DIFFICULT,Fountain Hills,0.419895288,3,City of Scottsdale,161,241,5,12,2138,1929,Unknown,Not Allowed
balanced rock trail,1.6,EASY,Carefree,0.418848168,3,Cave Creek Bicycle Association,123,12,2,4,2870,2748,Unknown,Unknown
lower oldham trail,2.4,INTERMEDIATE/DIFFICULT,Flagstaff,0.417801047,3,Flagstaff Biking Organization,544,114,5,14,7579,7065,Unknown,Unknown
upper hawes loop trail,1.4,VERY DIFFICULT,Apache Junction,0.416753927,3,USFS - Tonto National Forest Office,314,280,8,23,2315,2002,Leashed,Unknown
flight path,1,DIFFICULT,Drexel Heights,0.415706806,3,Sonoran Desert Mountain Bicyclists,83,86,3,9,2630,2557,Unknown,Unknown
copper creek rd fr53,2.6,INTERMEDIATE,Prescott,0.414659686,3,USFS - Prescott National Forest Office,692,3,5,14,6074,5381,Unknown,Unknown
wilson mountain trail,0.5,EASY/INTERMEDIATE,Sedona,0.413612565,3,Verde Valley Cyclists Coalition,55,13,3,4,4586,4543,Unknown,Unknown
exposure,0.9,INTERMEDIATE/DIFFICULT,Buckeye,0.412565445,3,,148,173,7,16,1263,1131,Unknown,Unknown
levee trail,1,EASY,Fountain Hills,0.411518325,3,,225,0,4,7,1926,1701,Unknown,Not Allowed
hello mexico,4.2,INTERMEDIATE,Ajo,0.410471204,3,BLM Arizona - Hassayampa Field Office,78,173,1,4,1953,1817,Leashed,Unknown
castle rock trail: north loop segment,1.8,DIFFICULT,Kingman,0.409424084,3,,307,267,6,18,4254,3972,Unknown,Unknown
roman's rise,0.4,INTERMEDIATE,Goodyear,0.408376963,3,West Valley Trail Alliance,66,4,3,9,1108,1044,Leashed,Unknown
piece of pie,0.8,INTERMEDIATE,Ajo,0.407329843,3,BLM Arizona - Hassayampa Field Office,30,32,1,5,2049,2022,Leashed,Unknown
rita's upper by-pass,0.2,INTERMEDIATE,Buckeye,0.406282723,3,West Valley Trail Alliance,0,22,2,4,1072,1050,Leashed,Unknown
azt: segment 11 - mogollon rim to flagstaff,138.4,INTERMEDIATE,Payson,0.405235602,3,,14197,12037,4,66,7714,4383,Unknown,Unknown
crusty,0.4,INTERMEDIATE/DIFFICULT,Sedona,0.404188482,2.8,Verde Valley Cyclists Coalition,0,82,3,7,4362,4280,Unknown,Unknown
sonoran trail,2.6,INTERMEDIATE/DIFFICULT,Fountain Hills,0.403141361,3,,749,399,8,28,2752,2171,Unknown,Unknown
azt: segment 14 - jacob lake to ut border,26.4,INTERMEDIATE,Fredonia,0.402094241,3,,686,3207,3,14,7640,5000,Unknown,Unknown
huachuca canyon road,4.3,INTERMEDIATE,Sierra Vista,0.40104712,3,,1070,2,5,15,6255,5187,Unknown,Unknown
bct: black canyon to soap creek,5.4,DIFFICULT,Black Canyon City,0.4,3,,586,527,4,12,2266,1897,Unknown,Allowed
kiwanis trail,1,VERY DIFFICULT,Laveen,0.39895288,3,City of Phoenix - Trails and Desert Preserves,0,411,7,15,2000,1589,Leashed,Allowed
arizona trail - highway 89 to walnut canyon,11.7,INTERMEDIATE,Flagstaff,0.397905759,3,Flagstaff Biking Organization,663,855,2,12,6943,6483,Unknown,Unknown
centennial trail,1.8,DIFFICULT,Prescott,0.396858639,3,Prescott Mountain Bike Alliance,200,431,7,24,5705,5462,Leashed,Unknown
south fork of little colorado river trail #97,5.9,INTERMEDIATE/DIFFICULT,Eagar,0.395811518,3,,1556,173,6,20,9041,7547,Unknown,Unknown
canal trail,0.9,EASY,Tempe Junction,0.394764398,3,City of Tempe - Parks,17,15,1,5,1176,1162,Unknown,Unknown
spine trail,1.5,EASY/INTERMEDIATE,Casa Grande,0.393717277,3,Casa Grande Parks & Recreation,115,38,2,14,1612,1528,Unknown,Unknown
sunset pass trail,0.5,INTERMEDIATE,Tucson Estates,0.392670157,3,Sonoran Desert Mountain Bicyclists,70,0,3,4,2713,2644,Unknown,Unknown
pipeline canyon,2,INTERMEDIATE,Anthem,0.391623037,3,,195,288,5,16,1890,1696,Leashed,Allowed
creosote loop (#1003),1.4,EASY,Cornville,0.390575916,3,USFS - Coconino National Forest Office,102,67,2,5,3558,3461,Unknown,Unknown
climb 3,2.1,INTERMEDIATE,Flagstaff,0.389528796,3,Flagstaff Biking Organization,715,25,7,14,8771,8075,Unknown,Unknown
verde trail,1.2,EASY,Rio Verde,0.388481675,3,Maricopa County Parks,113,2,2,4,1772,1661,Leashed,Unknown
north trail,2.9,EASY,Rio Verde,0.387434555,3,Maricopa County Parks,138,129,2,3,1881,1744,Leashed,Unknown
desert rose,3.2,INTERMEDIATE,Avondale,0.386387435,3,,366,271,4,13,1229,986,Leashed,Unknown
figure 8 loop (pink),6.3,INTERMEDIATE,Prescott,0.385340314,3,,365,356,2,8,5441,5256,Leashed,Unknown
sidewinder,2.1,INTERMEDIATE/DIFFICULT,Avondale,0.384293194,3,,255,206,4,13,1404,1196,Leashed,Unknown
hokaygon trail #341,1.4,DIFFICULT,Prescott,0.383246073,3,Prescott Mountain Bike Alliance,302,54,5,15,5855,5572,Unknown,Unknown
crooked tree trail,0.9,EASY/INTERMEDIATE,Tortolita,0.382198953,3,Sonoran Desert Mountain Bicyclists,19,37,1,2,2360,2323,Unknown,Unknown
lower chain breaker,1.8,INTERMEDIATE/DIFFICULT,Ajo,0.381151832,3,BLM Arizona - Yuma Field Office,0,149,2,3,1994,1845,Leashed,Unknown
dos equis,1.4,DIFFICULT,Fortuna Foothills,0.380104712,3,Desert Mountain Bikers of Yuma,57,286,5,12,502,225,Unknown,Unknown
broken spoke trail,1.3,EASY,Carefree,0.379057592,3,City of Scottsdale,59,43,1,4,2767,2729,Leashed,Unknown
hedgehog trail,0.4,EASY,Tortolita,0.378010471,3,Sonoran Desert Mountain Bicyclists,21,1,1,1,2396,2375,Leashed,Unknown
chuparosa trail,0.5,EASY,Rio Verde,0.376963351,3,,0,51,2,3,1932,1881,Leashed,Unknown
randy's ridge,0.4,INTERMEDIATE,Buckeye,0.37591623,3,,39,55,5,13,1103,1049,Leashed,Allowed
campground trail,1.1,INTERMEDIATE,Tucson Estates,0.37486911,3,Sonoran Desert Mountain Bicyclists,65,4,1,2,2661,2600,Unknown,Unknown
western bike loop,0.3,INTERMEDIATE,Fountain Hills,0.37382199,3,,9,181,10,24,2629,2457,Unknown,Unknown
yeti crossing,0.7,INTERMEDIATE,Ajo,0.372774869,3,BLM Arizona - Hassayampa Field Office,6,42,1,2,1992,1952,Leashed,Unknown
felt that,0.9,DIFFICULT,Ajo,0.371727749,3,BLM Arizona - Hassayampa Field Office,2,41,1,1,1920,1879,Leashed,Unknown
"azt: segment 4 - i-10 north, colossal cave, rincon valley",35.9,EASY/INTERMEDIATE,Vail,0.370680628,3,,1811,2541,2,15,3687,2651,Unknown,Unknown
bct: new river to table mesa trailhead,7.5,DIFFICULT,New River,0.369633508,3,,649,766,4,12,2453,1940,Unknown,Allowed
mint wash trail #345,4.2,DIFFICULT,Williamson,0.368586387,2.8,Prescott Mountain Bike Alliance,154,539,3,11,5633,5204,Unknown,Unknown
azt: segment 8 - gila river and alamo canyon,52.5,INTERMEDIATE/DIFFICULT,Kearny,0.367539267,3,Sonoran Desert Mountain Bicyclists,6074,7023,5,32,3737,1645,Leashed,Unknown
noodle trail,2.1,EASY,Prescott,0.366492147,3,Prescott Mountain Bike Alliance,172,95,2,9,5656,5558,Leashed,Unknown
goat camp,6.4,VERY DIFFICULT,Citrus Park,0.365445026,3,West Valley Trail Alliance,453,1803,7,41,3223,1499,Leashed,Unknown
hope camp trail,2.9,EASY/INTERMEDIATE,Vail,0.364397906,3,NPS - Saguaro National Park,224,252,3,8,3317,3117,No Dogs,Unknown
maricopa trail: white tanks to verrado,6.9,EASY/INTERMEDIATE,Citrus Park,0.363350785,3,West Valley Trail Alliance,52,267,1,3,1379,1162,Leashed,Unknown
gates pass trail,4.4,INTERMEDIATE,Tucson Estates,0.362303665,2.8,Sonoran Desert Mountain Bicyclists,673,0,3,23,3137,2465,Unknown,Unknown
azt: segment 3 - las colinas,27.4,EASY/INTERMEDIATE,Corona de Tucson,0.361256545,3,,1925,3628,4,19,5404,3491,Unknown,Unknown
arizona trail - fr 418 to fr 523/416,6.3,EASY,Flagstaff,0.360209424,3,Flagstaff Biking Organization,26,989,3,8,8279,7316,Unknown,Unknown
mohave and milltown rail trail,7,EASY,Mohave Valley,0.359162304,3,BLM Arizona - Kingman Field Office,46,950,3,6,1821,871,Unknown,Allowed
skull rock spur,2,INTERMEDIATE,Quartzsite,0.358115183,3,,408,0,4,7,2696,2288,Unknown,Unknown
daisy mountain peak trail,1.2,DIFFICULT,New River,0.357068063,3,,747,90,14,36,3133,2464,Unknown,Unknown
rio de flag,2.1,EASY,Flagstaff,0.356020942,2.8,Flagstaff Biking Organization,62,21,1,2,6839,6794,Unknown,Unknown
upper oldham trail,1.5,DIFFICULT,Flagstaff,0.354973822,3,Coconino County and the City of Flagstaff,993,0,12,25,8902,7909,Leashed,Unknown
lost creek,2.3,INTERMEDIATE,Citrus Park,0.353926702,3,,570,222,6,23,2000,1438,Leashed,Allowed
cat peaks pass trail,0.3,INTERMEDIATE/DIFFICULT,Apache Junction,0.352879581,3,,42,38,6,15,1858,1816,Unknown,Unknown
mars hill trail,1.4,INTERMEDIATE,Flagstaff,0.351832461,3,Coconino County and the City of Flagstaff,365,1,5,14,7379,7014,Leashed,Unknown
huachuca loop trail,1.2,DIFFICULT,Sierra Vista,0.35078534,3,,364,630,15,25,6566,5936,Leashed,Unknown
ranger trail,1.4,DIFFICULT,Laveen,0.34973822,3,City of Phoenix - Trails and Desert Preserves,773,0,10,20,2252,1479,Leashed,Allowed
trail #367 - miller creek trail,0.9,INTERMEDIATE,Prescott,0.348691099,3,Prescott Mountain Bike Alliance,1,159,3,6,5863,5706,Leashed,Unknown
sunrise summit loop,0.5,EASY/INTERMEDIATE,Peoria,0.347643979,3,,151,6,6,19,1619,1469,Unknown,Unknown
stoneman wash,4.4,INTERMEDIATE,Fountain Hills,0.346596859,3,,559,0,2,4,2430,1870,Leashed,Unknown
usfs road 687,7.7,EASY,Tombstone,0.345549738,3,USFS - Coronado National Forest Office,283,506,2,6,5072,4796,Unknown,Unknown
springs trail #633,3.5,DIFFICULT,Pinetop-Lakeside,0.344502618,2.8,Pinetop-Lakeside TRACKS,138,136,1,7,7185,7088,Unknown,Unknown
cottonwood,1.2,EASY/INTERMEDIATE,New River,0.343455497,3,,73,91,3,10,1832,1756,Unknown,Allowed
longview trail,1.9,EASY,Prescott,0.342408377,3,Prescott Mountain Bike Alliance,104,149,3,6,5533,5414,Unknown,Unknown
trail 315 - watertower trail,0.8,INTERMEDIATE,Prescott,0.341361257,3,Prescott Mountain Bike Alliance,134,7,3,14,5814,5686,Leashed,Unknown
ajo mountain drive,18.8,EASY,"Sonoyta, MX",0.340314136,3,,1070,1013,2,12,2620,1672,Leashed,Unknown
fire road,2.6,INTERMEDIATE/DIFFICULT,Catalina,0.339267016,3,,506,266,6,16,4129,3624,Unknown,Unknown
trail 392 - garden grove trail,1.5,INTERMEDIATE,Prescott,0.338219895,3,Prescott Mountain Bike Alliance,379,20,5,14,6226,5862,Unknown,Unknown
new loop,0.7,EASY,Tanque Verde,0.337172775,3,,11,10,1,1,2835,2825,Unknown,Not Allowed
forest road #403,10.3,INTERMEDIATE,Eagar,0.336125654,3,USFS - Apache & Sitgreaves National Forests Office,954,694,3,11,9457,8639,Unknown,Allowed
south trail,1.1,INTERMEDIATE,Citrus Park,0.335078534,3,Maricopa County Parks,1,176,3,6,1631,1455,Unknown,Allowed
w gasline road,3.3,INTERMEDIATE,New River,0.334031414,3,AZ State Land Department,170,208,2,10,2131,1985,Unknown,Unknown
black jack trail,3.6,DIFFICULT,Clifton,0.332984293,3,USFS - Apache & Sitgreaves National Forests Office,1333,100,8,20,7471,6138,Unknown,Unknown
az trail - american flag tank to the windmill,4.2,INTERMEDIATE,Oracle,0.331937173,3,,107,537,3,7,4429,3999,Unknown,Unknown
loy link (#1004a),1.7,EASY,Cornville,0.330890052,3,USFS - Coconino National Forest Office,41,219,3,8,3533,3346,Unknown,Unknown
sidekick,1.3,INTERMEDIATE,Prescott,0.329842932,3,Prescott Mountain Bike Alliance,147,30,3,6,5751,5633,Leashed,Unknown
boy scout loop west,1.3,INTERMEDIATE,New River,0.328795812,3,Black Canyon Trail Coalition,0,245,3,6,2316,2071,Unknown,Unknown
cactus gardens,0.5,DIFFICULT,Apache Junction,0.327748691,3,Hawes Trail Alliance,1,303,11,18,2482,2179,Unknown,Unknown
northwest loop,0.7,INTERMEDIATE,Paradise Valley,0.326701571,3,,130,51,5,11,1602,1472,Unknown,Unknown
upper moss wash trail route 7200,4,DIFFICULT,Kingman,0.32565445,3,Colorado River Area Trail Alliance,486,885,6,23,6468,5669,Unknown,Unknown
thorpe trail,0.4,EASY,Flagstaff,0.32460733,3,,3,59,3,6,7013,6954,Leashed,Unknown
middle trail,0.5,EASY,Village of Oak Creek (Big Park),0.323560209,3,Verde Valley Cyclists Coalition,0,54,2,5,4262,4208,Leashed,Unknown
fr 9215b,1.1,INTERMEDIATE,Flagstaff,0.322513089,3,Flagstaff Biking Organization,296,0,5,11,8650,8354,Unknown,Unknown
roller coaster,1.5,INTERMEDIATE,Ajo,0.321465969,3,BLM Arizona - Hassayampa Field Office,9,116,2,4,2026,1915,Leashed,Unknown
sue b loop,2,INTERMEDIATE,Dolan Springs,0.320418848,3,,242,222,4,13,3898,3676,Leashed,Unknown
coyote leg (8112l),1.6,EASY/INTERMEDIATE,Ajo,0.319371728,3,BLM - Lower Sonoran Field Office,2,134,2,5,1767,1635,Unknown,Unknown
lost mine trail,0.9,INTERMEDIATE,Dolan Springs,0.318324607,3,,26,71,2,9,3684,3613,Leashed,Unknown
loop trail - campbell mesa to azt connector,0.6,EASY,Flagstaff,0.317277487,3,Flagstaff Biking Organization,12,30,1,6,6707,6679,Unknown,Unknown
lariat trail,1.5,INTERMEDIATE,Rio Verde,0.316230366,3,Maricopa County Parks,118,10,2,3,2263,2155,Leashed,Unknown
butte connector trail #323 (aka cramp hill),0.6,INTERMEDIATE,Prescott,0.315183246,3,USFS - Prescott National Forest Office,192,0,6,16,6179,5987,Unknown,Unknown
mountain wash trail,0.5,INTERMEDIATE,Apache Junction,0.314136126,3,,0,119,5,10,2050,1932,Leashed,Unknown
channel trail,1.3,EASY,Apache Junction,0.313089005,3,,2,31,0,2,1778,1749,Leashed,Allowed
d to fmz connector,0.8,INTERMEDIATE/DIFFICULT,Ajo,0.312041885,3,,57,55,3,5,1824,1773,Unknown,Unknown
union peak trail,0.4,DIFFICULT,Anthem,0.310994764,3,Cave Creek Bicycle Association,224,28,11,24,2200,1986,Unknown,Unknown
homestead,2.4,EASY,Goodyear,0.309947644,3,,0,229,2,4,1383,1153,Leashed,Unknown
red loop 1,1.6,INTERMEDIATE,Prescott,0.308900524,3,,72,64,2,6,5326,5257,Leashed,Unknown
quail trail,1.1,EASY,Goodyear,0.307853403,3,,200,41,4,11,1075,916,Leashed,Unknown
usfs road 688,3,EASY,Saint David,0.306806283,3,USFS - Coronado National Forest Office,303,9,2,6,5132,4838,Unknown,Unknown
335,3,EASY,Green Valley,0.305759162,3,,113,80,1,5,3136,3044,Unknown,Unknown
baseline trail,1.8,INTERMEDIATE,Goodyear,0.304712042,3,,227,221,5,13,1137,989,Leashed,Unknown
chimbley water trail #348,0.6,EASY,Williamson,0.303664921,3,USFS - Prescott National Forest Office,64,56,4,8,5746,5681,Leashed,Unknown
grunt,0.7,INTERMEDIATE,Buckeye,0.302617801,3,,123,33,5,12,1194,1072,Unknown,Unknown
bighorn,1.4,DIFFICULT,Fortuna Foothills,0.301570681,3,Desert Mountain Bikers of Yuma,29,272,4,10,641,387,Unknown,Unknown
