trail_name,length,difficulty,trail_link,longitude,latitude,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Last Frontier,4.3,DIFFICULT,https://www.mtbproject.com/trail/7013615/last-frontier,34.866656,-111.859486,West Sedona,0.79895288,3.7,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,319,581,4,18,4453,4123,Unknown,Unknown
Teacup,2.1,DIFFICULT,https://www.mtbproject.com/trail/4964091/teacup,34.874336,-111.796433,West Sedona,0.797905759,3.7,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,201,289,4,15,4683,4468,Unknown,Unknown
Willow Trail #347,6.6,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4909174/willow-trail-347,34.593783,-112.508626,Prescott,0.796858639,4,,,,,496,790,4,18,5889,5189,Unknown,Unknown
Scenic Trail,3.5,INTERMEDIATE,https://www.mtbproject.com/trail/7011563/scenic-trail,33.700956,-111.718594,Rio Verde,0.795811518,3.7,Maricopa County Parks,http://www.maricopa.gov/parks/,,,243,272,3,12,2003,1746,Unknown,Allowed
Jedi Trail,1.5,DIFFICULT,https://www.mtbproject.com/trail/4236309/jedi-trail,35.266414,-111.635302,Flagstaff,0.794764398,3.9,Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,Coconino County and the City of Flagstaff,http://www.flagstaff.az.gov/index.aspx?NID=1379,59,366,5,19,8350,8013,Unknown,Unknown
Feldmeier Trail #330,2.6,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7007536/feldmeier-trail-330,34.494847,-112.442124,Prescott,0.793717277,3.9,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,81,489,4,11,6126,5708,Unknown,Unknown
Bell Pass Trail,3.3,DIFFICULT,https://www.mtbproject.com/trail/6535101/bell-pass-trail,33.64695,-111.836821,Fountain Hills,0.792670157,4,Desert Foothills Mountain Bike Association,https://www.mtbproject.com/club/6282206/desert-foothills-mountain-bike-association,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,1187,622,10,35,3197,2021,Unknown,Not Allowed
Whiskey Bottle Trail,3.1,INTERMEDIATE,https://www.mtbproject.com/trail/7009191/whiskey-bottle-trail,33.74645,-111.795382,Rio Verde,0.791623037,3.9,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,287,64,2,9,2770,2548,Leashed,Not Allowed
Pass Mountain Trail,7.2,DIFFICULT,https://www.mtbproject.com/trail/5186330/pass-mountain-trail,33.466118,-111.597636,Apache Junction,0.790575916,3,,,,,1141,1139,6,39,2632,1889,Unknown,Unknown
Iron King Trail,4.2,EASY,https://www.mtbproject.com/trail/7001408/iron-king-trail,34.615011,-112.347073,Prescott Valley,0.789528796,3.9,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,,,217,87,1,3,5195,4999,Leashed,Unknown
Warpaint Loop,1.6,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/5371207/warpaint-loop,33.333931,-112.022862,Guadalupe,0.788481675,3.7,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,95,103,2,4,1476,1383,Unknown,Allowed
Blevins,3.1,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/4365245/blevins,33.46602,-111.607625,Apache Junction,0.787434555,3.6,Maricopa County Parks,http://www.maricopa.gov/parks/,,,135,137,2,5,1898,1802,Unknown,Allowed
136th St. Express,7,EASY,https://www.mtbproject.com/trail/7009300/136th-st-express,33.742259,-111.788833,Rio Verde,0.786387435,4,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,260,59,1,4,2698,2494,Leashed,Not Allowed
Ironwood Trail,4.9,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7000586/ironwood-trail,32.193862,-111.166382,Tucson Estates,0.785340314,3.9,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,353,7,1,6,2775,2428,Unknown,Unknown
Coachwhip Trail,2.6,INTERMEDIATE,https://www.mtbproject.com/trail/3570112/coachwhip-trail,33.655079,-111.775314,Fountain Hills,0.784293194,4,,,,,215,350,4,9,2433,2176,Unknown,Allowed
#297 Smith Ravine Trail,2.9,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4575360/297-smith-ravine-trail,34.484414,-112.373241,Prescott,0.783246073,4,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,1040,156,8,15,6953,6070,Unknown,Unknown
Ramshead,1.1,INTERMEDIATE,https://www.mtbproject.com/trail/4969443/ramshead,34.830194,-111.803126,West Sedona,0.782198953,4,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,84,76,3,6,4092,4043,Unknown,Unknown
Moon Rock,1.5,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/4210312/moon-rock,33.463787,-111.615324,Apache Junction,0.781151832,3.9,Maricopa County Parks,http://www.maricopa.gov/parks/,,,28,73,1,3,1871,1798,Unknown,Allowed
Old Post Trail,2.7,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4940467/old-post-trail,34.833231,-111.81051,West Sedona,0.780104712,3.6,,,,,461,191,5,10,4430,4029,Unknown,Unknown
Toothaker,4.2,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7002869/toothaker,33.373572,-112.373502,Goodyear,0.779057592,3.6,West Valley Trail Alliance,https://www.mtbproject.com/club/7000163/west-valley-trail-alliance,Maricopa County Parks,http://www.maricopa.gov/parks/,371,199,3,12,1347,1028,Unknown,Allowed
Skywalker Trail #669,1.9,INTERMEDIATE,https://www.mtbproject.com/trail/7046428/skywalker-trail-669,34.847727,-111.813636,West Sedona,0.778010471,3.8,,,,,234,229,5,13,4575,4361,Unknown,Unknown
Cliff Walk Trail,2.9,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7004149/cliff-walk-trail,33.769662,-112.018173,Cave Creek,0.776963351,4,,,,,118,25,1,5,1864,1749,Leashed,Unknown
Bursera Trail,3,DIFFICULT,https://www.mtbproject.com/trail/5824717/bursera-trail,33.306607,-112.098429,Laveen,0.77591623,3.7,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,901,612,10,27,1881,1310,Unknown,Allowed
Upper Brookbank,2.1,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/914207/upper-brookbank,35.267236,-111.633506,Flagstaff,0.77486911,4,Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,499,190,6,22,8691,8325,Unknown,Unknown
Butterfield,2.6,INTERMEDIATE,https://www.mtbproject.com/trail/7002877/butterfield,33.369146,-112.373646,Goodyear,0.77382199,4,Maricopa County Parks,http://www.maricopa.gov/parks/,,,318,132,3,10,1310,995,Unknown,Allowed
Thumper,2.1,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/3616402/thumper,34.78737,-111.999776,Cottonwood,0.772774869,4,Arizona State Parks,http://azstateparks.com/index.html,,,98,350,4,11,3878,3556,Unknown,Unknown
Maverick Trail,1.5,INTERMEDIATE,https://www.mtbproject.com/trail/7023672/maverick-trail,33.775494,-111.837621,Carefree,0.771727749,3.8,,,,,78,27,1,4,2797,2737,Leashed,Unknown
Rainbow Valley,4.4,INTERMEDIATE,https://www.mtbproject.com/trail/7002871/rainbow-valley,33.370609,-112.373142,Goodyear,0.770680628,3.9,West Valley Trail Alliance,https://www.mtbproject.com/club/7000163/west-valley-trail-alliance,Maricopa County Parks,http://www.maricopa.gov/parks/,620,449,5,15,1358,1026,Unknown,Allowed
Middlegate Trail,2.5,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4744021/middlegate-trail,32.494152,-110.867413,Catalina,0.769633508,3.5,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,AZ State Land Department,http://www.azland.gov/,281,341,5,15,3503,3187,Unknown,Unknown
Goat Trail,0.3,DIFFICULT,https://www.mtbproject.com/trail/3637887/goat-trail,33.319294,-112.047907,Guadalupe,0.768586387,3.9,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,7,191,11,19,1773,1589,Unknown,Allowed
Bittersweet,2,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/6186277/bittersweet,32.165464,-111.031733,Drexel Heights,0.767539267,3.9,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,148,100,2,15,2751,2662,Unknown,Unknown
Lime Kiln,2.6,INTERMEDIATE,https://www.mtbproject.com/trail/3616803/lime-kiln,34.766282,-111.988744,Cottonwood,0.766492147,4,Arizona State Parks,http://azstateparks.com/index.html,,,117,295,3,16,3608,3322,Unknown,Unknown
Rock Wren Trail,2,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4881415/rock-wren-trail,32.201106,-111.045603,Tucson Estates,0.765445026,3.9,,,,,99,157,2,10,2892,2783,Unknown,Unknown
Lakeshore Trail,1.8,DIFFICULT,https://www.mtbproject.com/trail/7012736/lakeshore-trail,34.598767,-112.410099,Prescott Valley,0.764397906,4,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,"City of Prescott, AZ - Recreation Services",http://cityofprescott.net/services/parks/,143,137,3,11,5219,5155,Leashed,Unknown
Windgate Pass Trail,3.1,DIFFICULT,https://www.mtbproject.com/trail/7020324/windgate-pass-trail,33.659169,-111.839382,Fountain Hills,0.763350785,4,,,,,902,475,9,29,3014,2174,Leashed,Not Allowed
Black Canyon Trail (BCT) - Bumblebee TH to Treasure Mine Rd,10.7,INTERMEDIATE,https://www.mtbproject.com/trail/4622458/black-canyon-trail-bct-bumblebee-th-to-treasure-mine-rd,34.151277,-112.153181,Black Canyon City,0.762303665,3.9,Black Canyon Trail Coalition,https://www.mtbproject.com/club/4676322/black-canyon-trail-coalition,BLM Arizona - Hassayampa Field Office,http://www.blm.gov/az/st/en/fo/hassayampa_field_office.html,1060,759,3,11,3115,2499,Unknown,Allowed
Circumference Trail,5.7,DIFFICULT,https://www.mtbproject.com/trail/7000364/circumference-trail,33.733482,-112.143605,Anthem,0.761256545,3,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,702,699,5,19,1776,1487,Leashed,Unknown
El Grupo Loop,2.5,INTERMEDIATE,https://www.mtbproject.com/trail/7055973/el-grupo-loop,32.192319,-111.037258,Tucson Estates,0.760209424,4,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,,,208,208,3,11,2711,2506,Unknown,Not Allowed
Maus,3.4,INTERMEDIATE,https://www.mtbproject.com/trail/7017448/maus,32.517789,-111.012797,Catalina,0.759162304,4,,,,,247,261,3,13,3739,3528,Unknown,Unknown
Lower Miller Canyon Trail,2,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7006085/lower-miller-canyon-trail,31.416381,-110.275792,Sierra Vista Southeast,0.758115183,4,,,,,2,636,6,14,5713,5077,Unknown,Unknown
Outside Loop (Purple),5.4,INTERMEDIATE,https://www.mtbproject.com/trail/7033193/outside-loop-purple,34.610767,-112.465705,Prescott,0.757068063,4,,,,,288,279,2,7,5443,5256,Leashed,Unknown
High Point,4.2,INTERMEDIATE,https://www.mtbproject.com/trail/7024404/high-point,32.710504,-110.895297,Oracle,0.756020942,4,,,,,299,336,3,9,4112,3804,Unknown,Unknown
Bridge Trail,0.9,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7017288/bridge-trail,35.137253,-111.696316,Kachina Village,0.754973822,4,Coconino County and the City of Flagstaff,http://www.flagstaff.az.gov/index.aspx?NID=1379,,,45,43,2,5,7066,7046,Unknown,Unknown
Power Rd Trail,1.6,INTERMEDIATE,https://www.mtbproject.com/trail/547484/power-rd-trail,33.480947,-111.683209,Fountain Hills,0.753926702,4,USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,18,83,1,4,1581,1503,Unknown,Unknown
Gateway Trail,1.5,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7012329/gateway-trail,33.811201,-111.979096,Cave Creek,0.752879581,4,,,,,34,102,2,6,1960,1862,Unknown,Unknown
Skunk Canyon Connector,1.4,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7038081/skunk-canyon-connector,35.15182,-111.625618,Flagstaff,0.751832461,4,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,,,0,189,3,8,6881,6692,Off-leash,Unknown
Taliesin Trail,2.3,INTERMEDIATE,https://www.mtbproject.com/trail/4037271/taliesin-trail,33.623249,-111.828727,Fountain Hills,0.75078534,4,Maricopa County Parks,http://www.maricopa.gov/parks/,,,3,428,4,6,1968,1543,Unknown,Not Allowed
Caliche Flats Trail,2.4,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7010590/caliche-flats-trail,32.1978,-111.134509,Tucson Estates,0.74973822,4,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,,,5,117,1,3,2543,2429,Unknown,Unknown
50 Year Trail Segment,3.8,INTERMEDIATE,https://www.mtbproject.com/trail/4742230/50-year-trail-segment,32.417829,-110.93838,Catalina,0.748691099,3.5,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,AZ State Land Department,http://www.azland.gov/,394,57,2,13,3537,3196,Unknown,Unknown
Cat Peaks,1.1,INTERMEDIATE,https://www.mtbproject.com/trail/4365689/cat-peaks,33.458451,-111.594573,Apache Junction,0.747643979,3.8,Maricopa County Parks,http://www.maricopa.gov/parks/,,,136,105,4,7,1927,1797,Unknown,Allowed
Black Rock Loop,1.8,INTERMEDIATE,https://www.mtbproject.com/trail/4730005/black-rock-loop,32.280073,-111.093169,Flowing Wells,0.746596859,3.8,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,88,85,2,4,2582,2522,Unknown,Unknown
Corona de Loma,1.6,DIFFICULT,https://www.mtbproject.com/trail/7001972/corona-de-loma,33.342231,-112.045087,Guadalupe,0.745549738,3.5,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,120,843,11,25,2354,1631,Leashed,Allowed
Campbell Mesa Loop Trail,4.8,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/921204/campbell-mesa-loop-trail,35.20114,-111.560913,Flagstaff,0.744502618,3.9,Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,263,236,2,6,6833,6699,Unknown,Unknown
Brewer Trail #212,0.8,DIFFICULT,https://www.mtbproject.com/trail/7046427/brewer-trail-212,34.855777,-111.779976,Sedona,0.743455497,4,,,,,1,323,8,20,4597,4275,Unknown,Unknown
Mt Bigelow,0.9,INTERMEDIATE,https://www.mtbproject.com/trail/683924/mt-bigelow,32.416054,-110.713909,Tanque Verde,0.742408377,4,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,0,541,12,20,8499,7958,Unknown,Unknown
Snake Trail,0.5,INTERMEDIATE,https://www.mtbproject.com/trail/4942984/snake-trail,34.889067,-111.828287,West Sedona,0.741361257,3.9,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,0,109,4,6,4541,4432,Unknown,Unknown
AZT: Segment 9 - Apache Trail to Roosevelt,82.1,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7025881/azt-segment-9-apache-trail-to-roosevelt,33.272133,-111.176631,Superior,0.740314136,4,,,,,5603,5771,3,14,2987,1672,Unknown,Unknown
The Divide Trail,2,EASY,https://www.mtbproject.com/trail/7012589/the-divide-trail,33.790732,-111.817705,Carefree,0.739267016,3.9,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,39,61,1,3,2972,2933,Unknown,Unknown
Champagne,4.1,INTERMEDIATE,https://www.mtbproject.com/trail/7003800/champagne,32.804287,-114.478389,Fortuna Foothills,0.738219895,4,Desert Mountain Bikers of Yuma,https://www.mtbproject.com/club/7000176/desert-mountain-bikers-of-yuma,BLM Arizona - Yuma Field Office,http://www.blm.gov/az/st/en/prog/recreation/hiking/betty_kitch.html,499,211,3,10,682,216,Unknown,Unknown
Stagecoach Trail,2.4,EASY,https://www.mtbproject.com/trail/7009192/stagecoach-trail,33.791083,-111.826482,Carefree,0.737172775,4,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,34,107,1,6,2902,2825,Leashed,Unknown
AZT: Segment 12 - Flagstaff to South Kaibab,107.2,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7025884/azt-segment-12-flagstaff-to-south-kaibab,35.21888,-111.632356,Flagstaff,0.736125654,4,,,,,6300,6238,2,28,9016,6131,Unknown,Unknown
Andrews-Kinsey Trail,2.5,INTERMEDIATE,https://www.mtbproject.com/trail/7020350/andrews-kinsey-trail,33.622964,-111.778601,Fountain Hills,0.735078534,4,,,,,467,349,6,21,2952,2665,Unknown,Not Allowed
Surprise Spring Trail #350,1.4,INTERMEDIATE,https://www.mtbproject.com/trail/7006904/surprise-spring-trail-350,34.600534,-112.545296,Williamson,0.734031414,4,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,0,279,4,9,5896,5617,Unknown,Unknown
Upper Raptor,2.6,INTERMEDIATE,https://www.mtbproject.com/trail/3615549/upper-raptor,34.787473,-111.999857,Cottonwood,0.732984293,4,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,,,440,8,3,26,4300,3866,Unknown,Unknown
Long Loop,9.7,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7022551/long-loop,33.667027,-111.69902,Avondale,0.731937173,3.4,Maricopa County Parks,http://www.maricopa.gov/parks/,,,790,774,3,16,1441,1010,No Dogs,Allowed
Badger Mountain Trail #329,7,INTERMEDIATE,https://www.mtbproject.com/trail/7033056/badger-mountain-trail-329,34.523709,-112.42255,Prescott,0.730890052,4,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,"City of Prescott, AZ - Recreation Services",http://cityofprescott.net/services/parks/,339,1094,4,18,6311,5519,Leashed,Unknown
AZT: Segment 5 - Redington Pass and the Mighty Catalinas,46.9,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7025877/azt-segment-5-redington-pass-and-the-mighty-catalinas,32.250107,-110.70374,Tanque Verde,0.729842932,4,,,,,8615,3469,5,27,8178,2752,Unknown,Unknown
Copper Mountain Loop,8.7,INTERMEDIATE,https://www.mtbproject.com/trail/7036283/copper-mountain-loop,34.399425,-112.155526,Spring Valley,0.728795812,3.8,,,,,525,707,3,12,4412,3954,Unknown,Unknown
Pemberton Trail,15.7,INTERMEDIATE,https://www.mtbproject.com/trail/7051456/pemberton-trail,33.690156,-111.718316,Rio Verde,0.727748691,4,,,,,770,768,2,8,2476,1826,Unknown,Unknown
Mule Deer Trail,3.5,INTERMEDIATE,https://www.mtbproject.com/trail/7026150/mule-deer-trail,33.564381,-112.504629,Citrus Park,0.726701571,3.8,,,,,194,208,2,6,1514,1379,Unknown,Allowed
Trail 316 - Pine Lakes Trail,1.6,INTERMEDIATE,https://www.mtbproject.com/trail/7002321/trail-316-pine-lakes-trail,34.552583,-112.521787,Prescott,0.72565445,4,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,159,211,4,12,5801,5599,Leashed,Unknown
Twist & Shout Trail #372,0.6,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7012603/twist-shout-trail-372,34.511267,-112.47149,Prescott,0.72460733,4,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,,,14,55,2,5,5733,5679,Leashed,Unknown
Pat Mullen Spur,0.6,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7016113/pat-mullen-spur,34.151508,-109.881494,Pinetop-Lakeside,0.723560209,4,Pinetop-Lakeside TRACKS,https://www.mtbproject.com/club/1027178/pinetop-lakeside-tracks,USFS - Apache & Sitgreaves National Forests Office,http://www.fs.usda.gov/asnf,255,0,9,20,7607,7352,Unknown,Unknown
Tecolote Trail,0.5,DIFFICULT,https://www.mtbproject.com/trail/7055972/tecolote-trail,32.196956,-111.027826,South Tucson,0.722513089,4,,,,,40,39,3,7,2599,2559,Unknown,Not Allowed
Gasline Bypass,2.5,INTERMEDIATE,https://www.mtbproject.com/trail/7022211/gasline-bypass,32.701728,-110.922022,Catalina,0.721465969,4,Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,AZ State Land Department,http://www.azland.gov/,123,197,2,10,3935,3796,Unknown,Unknown
Connector Trail,1.1,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7043271/connector-trail,33.498905,-111.665234,Fountain Hills,0.720418848,4,USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,119,98,4,6,1833,1714,Unknown,Unknown
Mint Wash Connector Trail #352,1.2,DIFFICULT,https://www.mtbproject.com/trail/7012659/mint-wash-connector-trail-352,34.614057,-112.53872,Williamson,0.719371728,4,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,,,45,351,6,14,5794,5444,Leashed,Unknown
Wild West Trail,0.5,DIFFICULT,https://www.mtbproject.com/trail/7055974/wild-west-trail,32.193581,-111.038605,Tucson Estates,0.718324607,4,,,,,159,141,11,18,2830,2671,Unknown,Not Allowed
Moto Trail (upper),1.8,DIFFICULT,https://www.mtbproject.com/trail/5128831/moto-trail-upper,35.271812,-111.664497,Flagstaff,0.717277487,3.8,Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,620,0,7,16,8366,7746,Unknown,Allowed
Arizona Trail (Highway 89 to Schultz Pass),6.3,INTERMEDIATE,https://www.mtbproject.com/trail/954069/arizona-trail-highway-89-to-schultz-pass,35.250204,-111.561847,Flagstaff,0.716230366,3.8,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,,,1398,283,5,12,8018,6903,Unknown,Unknown
Arizona Trail (Snowbowl Road to Schultz Pass),6.8,INTERMEDIATE,https://www.mtbproject.com/trail/835610/arizona-trail-snowbowl-road-to-schultz-pass,35.283414,-111.710689,Flagstaff,0.715183246,3.7,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,,,598,188,2,8,8101,7576,Unknown,Unknown
Beverly Canyon Trail,1.7,INTERMEDIATE,https://www.mtbproject.com/trail/7002010/beverly-canyon-trail,33.374209,-111.985196,Guadalupe,0.714136126,3.5,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,317,158,5,22,1543,1250,Unknown,Allowed
Centennial Training Track,0.6,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7044630/centennial-training-track,32.692634,-114.654217,Yuma,0.713089005,4,,,,,12,11,1,2,125,119,Leashed,Not Allowed
Eliot Ramada Loop - around the golf course,2,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/358755/eliot-ramada-loop-around-the-golf-course,33.464109,-111.955624,Tempe Junction,0.712041885,3.6,City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,29,95,1,2,1301,1206,Unknown,Unknown
Willy Nilly Tractor,1.9,INTERMEDIATE,https://www.mtbproject.com/trail/7041329/willy-nilly-tractor,34.571307,-112.53421,Prescott,0.710994764,4,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,259,140,4,13,5780,5553,Leashed,Unknown
Christmas Tree Loop,1.4,INTERMEDIATE,https://www.mtbproject.com/trail/6535290/christmas-tree-loop,32.155258,-110.777869,Tanque Verde,0.709947644,3.6,,,,,57,56,2,4,2872,2819,Unknown,Unknown
Garden Party Trail #324,0.8,INTERMEDIATE,https://www.mtbproject.com/trail/7007140/garden-party-trail-324,34.544807,-112.536546,Prescott,0.708900524,4,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,174,17,4,9,6036,5879,Unknown,Unknown
Tom's Thumb Trail,4.7,VERY DIFFICULT,https://www.mtbproject.com/trail/7020323/toms-thumb-trail,33.693855,-111.802218,Rio Verde,0.707853403,3.7,,,,,1124,1401,10,53,3775,2444,Unknown,Not Allowed
Wild Burro,2.7,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/5507136/wild-burro,32.498281,-111.064046,Tortolita,0.706806283,4,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,,,387,44,3,13,3879,3521,Unknown,Unknown
Tunnel Vision,1.5,INTERMEDIATE,https://www.mtbproject.com/trail/7041140/tunnel-vision,34.566735,-112.551386,Prescott,0.705759162,4,Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,64,127,2,7,5848,5759,Leashed,Unknown
Chain Fruit Trail,1,EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7044912/chain-fruit-trail,33.465001,-111.615342,Apache Junction,0.704712042,4,,,,,92,0,2,6,1976,1884,Leashed,Allowed
Dawa Trail,1.7,INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4943173/dawa-trail,34.895772,-111.836866,West Sedona,0.703664921,3.5,Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,83,153,3,7,4506,4384,Unknown,Unknown
Clark Springs Trail #40,2.1,DIFFICULT,https://www.mtbproject.com/trail/7012621/clark-springs-trail-40,34.600483,-112.574509,Williamson,0.702617801,4,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,,,1,784,7,19,6410,5627,Leashed,Unknown
