trail_name,length,difficulty,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Trail of Endor,"0.9
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7020004/trail-of-endor,"Junction, UT",#184,4.7 (3),Eagle Point Ski Resort,http://www.eaglepointresort.com/,,,126',317',9%,21%,"10,537'","10,219'",Off-leash,Unknown
Clark's Trail,"1.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/5936710/clarks-trail,"Draper, UT",#185,3.9 (18),,,,,606',0',9%,14%,"5,793'","5,187'",Unknown,Allowed
Ogden BST - 22nd to Waterfall,"2.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/511668/ogden-bst-22nd-to-waterfall,"Ogden, UT",#186,3.9 (17),,,,,687',282',8%,46%,"5,254'","4,849'",Unknown,Unknown
Bennie Creek Trail #071,"4.3
    mi",DIFFICULT,https://www.mtbproject.com/trail/7006475/bennie-creek-trail-071,"Woodland Hills, UT",#187,4.5 (6),,,,,"1,142'","1,441'",11%,42%,"7,770'","6,330'",Unknown,Unknown
Kaysville Mountain Bike Loop,"2.3
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/5149227/kaysville-mountain-bike-loop,"Fruit Heights, UT",#188,4.0 (15),"City of Kaysville, UT - Parks and Recreation",http://www.kaysvillerec.com/index.html,,,251',262',4%,12%,"4,992'","4,832'",Unknown,Unknown
Cowley's Curse,"2.3
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7047316/cowleys-curse,"Pleasant Grove, UT",#189,4.4 (8),,,,,205',205',3%,12%,"5,165'","4,982'",Unknown,Unknown
Scott's Bypass,"1.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/3735219/scotts-bypass,"Park City, UT",#190,4.4 (7),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,265',3',4%,9%,"9,750'","9,488'",Unknown,Unknown
Magic Carpet,"1.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7008701/magic-carpet,"Hurricane, UT",#191,4.4 (7),,,,,12',55',1%,2%,"5,718'","5,672'",Off-leash,Unknown
Coyote Trail,"16.6
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7015308/coyote-trail,"Heber, UT",#192,4.0 (14),,,,,"1,837'","2,159'",5%,16%,"7,608'","5,855'",Unknown,Unknown
Margarita Trail,"2.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7008985/margarita-trail,"Springdale, UT",#193,4.1 (14),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,167',21',2%,6%,"4,612'","4,460'",Off-leash,Unknown
Maverick,"0.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/174884/maverick,"Moab, UT",#194,3.7 (22),,,,,2',85',5%,13%,"4,663'","4,578'",Leashed,Unknown
Red Canyon Bike Trail #33016,"8.9
    mi",EASY,https://www.mtbproject.com/trail/7017046/red-canyon-bike-trail-33016,"Panguitch, UT",#195,4.4 (5),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,USFS - Dixie National Forest Office,http://www.fs.usda.gov/dixie,777',191',2%,9%,"7,826'","7,090'",Unknown,Unknown
Hurricane Rim Trail,"6.4
    mi",DIFFICULT,https://www.mtbproject.com/trail/4063969/hurricane-rim-trail,"Hurricane, UT",#196,3.7 (20),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,553',421',3%,13%,"3,789'","3,514'",Unknown,Unknown
Road to WOS,"3.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7028936/road-to-wos,"Summit Park, UT",#197,4.5 (4),,,,,653',226',5%,20%,"7,896'","7,319'",Off-leash,Unknown
Practice Trail,"1.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/4217253/practice-trail,"Hurricane, UT",#198,4.2 (10),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,81',49',2%,6%,"5,211'","5,138'",Unknown,Unknown
Moab Canyon Paved Path,"9.0
    mi",EASY,https://www.mtbproject.com/trail/175698/moab-canyon-paved-path,"Moab, UT",#199,4.1 (8),,,,,674',145',2%,7%,"4,620'","3,970'",Leashed,Not Allowed
Top of the World Jeep Road,"5.6
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/7044153/top-of-the-world-jeep-road,"Moab, UT",#200,4.5 (4),BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,,,"2,031'",613',9%,21%,"7,050'","5,058'",Leashed,Allowed
Ice Box Canyon,"1.0
    mi",DIFFICULT,https://www.mtbproject.com/trail/570524/ice-box-canyon,"Wolf Creek, UT",#201,3.9 (16),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,6',319',6%,13%,"5,512'","5,193'",Unknown,Unknown
Big Water Trail,"1.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/5860075/big-water-trail,"Snyderville, UT",#202,4.5 (4),,,,,566',7',7%,26%,"8,191'","7,632'",Unknown,Unknown
Chuckwalla Trail,"0.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7013261/chuckwalla-trail,"Santa Clara, UT",#203,3.9 (15),BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,,,46',63',2%,4%,"3,059'","2,995'",Off-leash,Unknown
Skyline Trail,"20.8
    mi",DIFFICULT,https://www.mtbproject.com/trail/7006431/skyline-trail,"Wolf Creek, UT",#204,4.3 (6),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,"6,928'","2,977'",9%,42%,"9,637'","4,998'",Unknown,Unknown
Snake Pit,"2.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/4414955/snake-pit,"Santa Clara, UT",#205,4.2 (10),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,26',242',2%,4%,"3,113'","2,871'",Unknown,Unknown
Goosebump,"3.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/6360481/goosebump,"Hurricane, UT",#206,4.1 (12),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,219',272',3%,14%,"4,025'","3,924'",Unknown,Unknown
Zoltar,"0.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7002630/zoltar,"Moab, UT",#207,4.0 (14),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,32',47',2%,6%,"4,612'","4,577'",Leashed,Unknown
Valley of the Gods Jeep Road,"17.0
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7017868/valley-of-the-gods-jeep-road,"Blanding, UT",#208,4.4 (5),,,,,563',"1,415'",2%,13%,"5,301'","4,443'",Leashed,Allowed
Bonneville Shoreline Trail: North Ogden,"4.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/760693/bonneville-shoreline-trail-north-ogden,"North Ogden, UT",#209,4.1 (11),,,,,738',503',5%,26%,"5,779'","5,095'",Leashed,Unknown
Ogden BST - 12th Street to Jumpoff Canyon,"3.8
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4159532/ogden-bst-12th-street-to-jumpoff-canyon,"Ogden, UT",#210,4.1 (11),Bonneville Shoreline Trail,https://www.mtbproject.com/club/834828/bonneville-shoreline-trail,,,635',349',5%,39%,"4,978'","4,425'",Unknown,Unknown
The Barrel,"0.4
    mi",DIFFICULT,https://www.mtbproject.com/trail/7006417/the-barrel,"Midway, UT",#211,4.4 (5),Wasatch Trails Alliance,https://www.mtbproject.com/club/7000063/wasatch-trails-alliance,Utah State Parks,http://stateparks.utah.gov/,0',169',8%,16%,"6,020'","5,851'",Unknown,Allowed
Bar-B Loop,"2.3
    mi",DIFFICULT,https://www.mtbproject.com/trail/172865/bar-b-loop,"Moab, UT",#212,3.7 (20),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,216',224',4%,14%,"4,817'","4,675'",Leashed,Not Allowed
Birch Creek Trail,"2.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7031367/birch-creek-trail,"Smithfield, UT",#213,4.1 (11),,,,,885',0',7%,17%,"6,244'","5,359'",Off-leash,Unknown
Twilight Zone,"2.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7013797/twilight-zone,"Enoch, UT",#214,4.3 (8),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - Cedar City,http://www.blm.gov/ut/st/en/fo/cedar_city.html,176',103',2%,8%,"5,922'","5,797'",Unknown,Unknown
Blacksmith Fork River Trail,"4.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7028437/blacksmith-fork-river-trail,"Hyrum, UT",#215,3.9 (14),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,345',36',2%,11%,"5,073'","4,762'",Unknown,Unknown
Black Loop,"1.3
    mi",DIFFICULT,https://www.mtbproject.com/trail/7045116/black-loop,"Fruit Heights, UT",#216,4.3 (8),,,,,170',172',5%,16%,"4,849'","4,677'",Unknown,Unknown
Rainbow Downhill,"1.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/4159801/rainbow-downhill,"Ogden, UT",#217,4.1 (11),,,,,29',354',6%,19%,"4,750'","4,411'",Unknown,Unknown
Handsome Cabin Boy (HCB),"1.7
    mi",DIFFICULT,https://www.mtbproject.com/trail/7005645/handsome-cabin-boy-hcb,"Vernal, UT",#218,4.4 (5),NUMB (Northeastern Utah Mountain Bikers),https://www.mtbproject.com/club/7000253/numb-northeastern-utah-mountain-bikers,BLM Utah - Vernal Office,http://www.blm.gov/ut/st/en/fo/vernal.html,184',303',5%,19%,"5,983'","5,689'",Unknown,Unknown
Racetrack,"6.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7018233/racetrack,"Maeser, UT",#219,4.3 (7),NUMB (Northeastern Utah Mountain Bikers),https://www.mtbproject.com/club/7000253/numb-northeastern-utah-mountain-bikers,BLM Utah - Vernal Office,http://www.blm.gov/ut/st/en/fo/vernal.html,452',451',3%,10%,"6,038'","5,606'",Off-leash,Unknown
Rim Rock,"3.1
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4568857/rim-rock,"Santa Clara, UT",#220,4.3 (6),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,429',123',3%,8%,"3,429'","3,044'",Unknown,Unknown
Sardine Peak Trail,"4.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7003196/sardine-peak-trail,"Ogden, UT",#221,4.3 (6),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,"1,152'",379',6%,20%,"7,269'","6,129'",Unknown,Unknown
Rob's Trail,"2.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/4180611/robs-trail,"Snyderville, UT",#222,4.1 (10),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,774',42',7%,42%,"7,924'","7,182'",Unknown,Unknown
Nome,"2.0
    mi",DIFFICULT,https://www.mtbproject.com/trail/7025313/nome,"Moab, UT",#223,4.3 (6),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,191',379',5%,14%,"5,069'","4,738'",Leashed,Unknown
Coldwater Canyon to BST,"1.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7009593/coldwater-canyon-to-bst,"North Ogden, UT",#224,4.3 (6),"Weber County Government, Ogden, UT - Parks",http://www.co.weber.ut.us/parks/,,,401',0',7%,15%,"5,179'","4,778'",Leashed,Unknown
Rim Runner,"0.7
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4570116/rim-runner,"Santa Clara, UT",#225,4.3 (6),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,58',46',3%,7%,"3,448'","3,391'",Unknown,Unknown
7-Up Singletrack Option,"0.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7015576/7-up-singletrack-option,"Moab, UT",#226,4.3 (6),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,45',102',5%,10%,"5,566'","5,464'",Leashed,Not Allowed
Hell Canyon,"2.9
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/7003217/hell-canyon,"Moab, UT",#227,4.5 (2),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,USFS - Manti-La Sal National Forest Office,http://www.fs.usda.gov/mantilasal,77',"2,290'",15%,58%,"9,140'","6,861'",Leashed,Not Allowed
Colorado River Overlook Trail,"7.4
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7057150/colorado-river-overlook-trail,"Moab, UT",#228,4.5 (2),,,,,299',313',2%,7%,"4,908'","4,766'",No Dogs,Allowed
Flagstaff Loop,"1.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7001738/flagstaff-loop,"Park City, UT",#229,4.5 (2),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,,,169',221',4%,15%,"9,009'","8,808'",Unknown,Unknown
Hotel Rock Trail,"3.9
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/7020319/hotel-rock-trail,"Blanding, UT",#230,4.5 (2),,,,,"1,214'",10',6%,17%,"6,196'","4,993'",Unknown,Unknown
West Doubletrack,"5.0
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/7002711/west-doubletrack,"Maeser, UT",#231,4.5 (2),BLM Utah - Vernal Office,http://www.blm.gov/ut/st/en/fo/vernal.html,,,32',"1,716'",7%,17%,"7,734'","6,036'",Unknown,Unknown
Turbulence,"1.6
    mi",DIFFICULT,https://www.mtbproject.com/trail/7055688/turbulence,"Washington, UT",#232,4.5 (2),,,,,122',270',5%,12%,"2,937'","2,767'",Unknown,Unknown
North Syncline Trail,"3.2
    mi",DIFFICULT,https://www.mtbproject.com/trail/7010094/north-syncline-trail,"River Heights, UT",#233,4.5 (2),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,783',614',8%,22%,"8,522'","7,857'",Unknown,Unknown
Fisher Mesa Extension,"5.3
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/221310/fisher-mesa-extension,"Moab, UT",#234,4.5 (2),BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,,,365',987',5%,20%,"7,460'","6,825'",Leashed,Unknown
Slippery When Wet,"4.9
    mi",DIFFICULT,https://www.mtbproject.com/trail/7002783/slippery-when-wet,"Maeser, UT",#235,4.0 (12),BLM Utah - Vernal Office,http://www.blm.gov/ut/st/en/fo/vernal.html,,,319',414',3%,14%,"5,304'","5,059'",Off-leash,Unknown
Wardsworth Canyon Trail #8010,"7.1
    mi",DIFFICULT,https://www.mtbproject.com/trail/7041630/wardsworth-canyon-trail-8010,"Springville, UT",#236,4.5 (2),,,,,"2,304'",0',6%,17%,"8,374'","6,070'",Leashed,Unknown
Little Purgatory Trail,"2.6
    mi",DIFFICULT,https://www.mtbproject.com/trail/7002424/little-purgatory-trail,"Leeds, UT",#237,4.5 (2),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,103',849',7%,17%,"3,835'","2,986'",Unknown,Unknown
Flyer Territory,"1.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7055691/flyer-territory,"Washington, UT",#238,4.5 (2),,,,,217',128',4%,14%,"2,801'","2,684'",Unknown,Unknown
Queen Bess,"0.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7004993/queen-bess,"Alta, UT",#239,4.5 (2),,,,,392',66',9%,35%,"8,650'","8,287'",No Dogs,Unknown
Billy Idol,"0.4
    mi",DIFFICULT,https://www.mtbproject.com/trail/7014833/billy-idol,"Eagle Mountain, UT",#240,4.5 (2),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,115',0',6%,13%,"5,228'","5,112'",Unknown,Unknown
Bronto Jam,"0.5
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7053048/bronto-jam,"Snyderville, UT",#241,4.5 (2),,,,,1',122',5%,11%,"6,725'","6,603'",No Dogs,Not Allowed
Pipeline Trail,"0.7
    mi",EASY,https://www.mtbproject.com/trail/7048050/pipeline-trail,"Liberty, UT",#242,4.5 (2),,,,,156',2',4%,15%,"5,813'","5,660'",Leashed,Allowed
Ricks Canyon,"4.5
    mi",DIFFICULT,https://www.mtbproject.com/trail/7000661/ricks-canyon,"North Logan, UT",#243,4.5 (2),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,"1,928'",9',8%,26%,"7,444'","5,525'",Unknown,Unknown
Richards Hollow 019G,"5.6
    mi",DIFFICULT,https://www.mtbproject.com/trail/7051186/richards-hollow-019g,"Millville, UT",#244,4.5 (2),,,,,"2,056'",34',7%,38%,"7,486'","5,464'",Leashed,Unknown
Monarch Loop Trail,"3.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7020061/monarch-loop-trail,"Junction, UT",#245,4.5 (2),Eagle Point Ski Resort,http://www.eaglepointresort.com/,,,385',389',5%,16%,"10,536'","10,148'",Unknown,Unknown
Bamm Bamm,"0.4
    mi",DIFFICULT,https://www.mtbproject.com/trail/7053047/bamm-bamm,"Snyderville, UT",#246,4.5 (2),,,,,1',112',6%,8%,"6,724'","6,613'",No Dogs,Unknown
Overflow Connector,"0.2
    mi",EASY,https://www.mtbproject.com/trail/7046933/overflow-connector,"Moab, UT",#247,4.5 (2),,,,,9',1',1%,1%,"5,959'","5,950'",No Dogs,Allowed
Four Loko,"1.4
    mi",VERY DIFFICULT,https://www.mtbproject.com/trail/7041072/four-loko,"Enoch, UT",#248,4.5 (2),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - Cedar City,http://www.blm.gov/ut/st/en/fo/cedar_city.html,156',208',5%,18%,"5,913'","5,744'",Leashed,Unknown
Oil Bolt,"0.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7055686/oil-bolt,"Washington, UT",#249,4.5 (2),,,,,0',188',4%,11%,"2,967'","2,778'",Unknown,Unknown
Mules Ear Connector,"1.1
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7047976/mules-ear-connector,"Liberty, UT",#250,4.5 (2),,,,,149',55',3%,10%,"6,009'","5,859'",Unknown,Allowed
Hoover Junction (Three Peaks Technical),"1.3
    mi",DIFFICULT,https://www.mtbproject.com/trail/7041071/hoover-junction-three-peaks-technical,"Enoch, UT",#251,4.5 (2),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - Cedar City,http://www.blm.gov/ut/st/en/fo/cedar_city.html,159',227',6%,14%,"5,916'","5,759'",Leashed,Unknown
S'mo Joes,"1.3
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7009629/smo-joes,"Carbonville, UT",#252,4.5 (2),BLM Utah-Price Field Office,http://www.blm.gov/ut/st/en/fo/price.html,,,16',180',3%,11%,"6,182'","6,018'",Unknown,Unknown
Intrepid,"0.7
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/5084752/intrepid,"Moab, UT",#253,3.9 (13),Dead Horse Point State Park,http://www.stateparks.utah.gov/parks/dead-horse,,,22',59',2%,6%,"5,925'","5,888'",No Dogs,Allowed
Canyon Hollow,"2.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/5936834/canyon-hollow,"Draper, UT",#254,3.7 (17),"City of Draper, UT - Parks and Trails",http://www.draper.ut.us/index.aspx?nid=116,,,740',7',7%,15%,"5,842'","5,109'",Unknown,Allowed
Holy Guacamole,"3.3
    mi",DIFFICULT,https://www.mtbproject.com/trail/7008987/holy-guacamole,"Springdale, UT",#255,3.8 (16),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,208',186',2%,14%,"4,571'","4,452'",Off-leash,Unknown
Killer Bee,"0.7
    mi",DIFFICULT,https://www.mtbproject.com/trail/175440/killer-bee,"Moab, UT",#256,4.1 (9),,,,,0',475',14%,40%,"4,707'","4,231'",Leashed,Not Allowed
Woodshollow Trail,"1.7
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7031914/woodshollow-trail,"Alpine, UT",#257,4.1 (9),,,,,3',427',5%,8%,"6,091'","5,664'",Leashed,Allowed
Dino Cliffs,"2.0
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/4332246/dino-cliffs,"Washington, UT",#258,3.9 (14),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - St. George Field Office,http://www.blm.gov/ut/st/en/fo/st__george.html,83',175',2%,23%,"3,295'","3,127'",Unknown,Unknown
Sovereign,"9.9
    mi",DIFFICULT,https://www.mtbproject.com/trail/231528/sovereign,"Moab, UT",#259,3.6 (16),Moab Trails Alliance,https://www.mtbproject.com/club/325553/moab-trails-alliance,State of Utah School and Institutional Trust Lands Administration,https://trustlands.utah.gov/,"1,295'","1,098'",5%,23%,"4,851'","4,383'",Leashed,Allowed
Kaysville Bonneville Shoreline,"3.6
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/347222/kaysville-bonneville-shoreline,"Fruit Heights, UT",#260,3.6 (19),,,,,696',368',6%,16%,"5,277'","4,886'",Unknown,Unknown
Bonneville Shoreline Trail - City Creek to Bobsled,"3.2
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7018040/bonneville-shoreline-trail-city-creek-to-bobsled,"Salt Lake City, UT",#261,4.2 (6),Bonneville Shoreline Trail Coalition,http://www.bonnevilleshorelinetrail.org/,,,"1,198'",65',7%,25%,"5,797'","4,661'",Leashed,Unknown
RTS,"2.7
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/7016897/rts,"Snyderville, UT",#262,3.8 (13),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,Utah Olympic Legacy Foundation,http://utaholympiclegacy.org/,260',294',4%,11%,"6,747'","6,486'",Unknown,Unknown
Race Course Loop,"3.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7013541/race-course-loop,"Enoch, UT",#263,4.1 (8),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - Cedar City,http://www.blm.gov/ut/st/en/fo/cedar_city.html,320',321',3%,14%,"6,152'","5,839'",Unknown,Unknown
Eric's Trail,"4.9
    mi",INTERMEDIATE/DIFFICULT,https://www.mtbproject.com/trail/7042640/erics-trail,"Herriman, UT",#264,4.0 (9),,,,,911',579',6%,15%,"6,112'","5,234'",Unknown,Unknown
Got Milk?,"4.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7002777/got-milk,"Maeser, UT",#265,3.9 (12),BLM Utah - Vernal Office,http://www.blm.gov/ut/st/en/fo/vernal.html,,,288',278',3%,10%,"5,319'","5,123'",Off-leash,Unknown
Three Peaks Loop,"5.9
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7041070/three-peaks-loop,"Enoch, UT",#266,4.0 (10),Trail Alliance of Southern Utah (TASU),https://www.mtbproject.com/club/31800/trail-alliance-of-southern-utah-tasu,BLM Utah - Cedar City,http://www.blm.gov/ut/st/en/fo/cedar_city.html,551',526',3%,16%,"6,050'","5,693'",Leashed,Unknown
Cub Scout Loop,"1.6
    mi",DIFFICULT,https://www.mtbproject.com/trail/7012531/cub-scout-loop,"Hurricane, UT",#267,4.1 (7),,,,,144',207',4%,12%,"3,117'","2,912'",Unknown,Unknown
South Maple Hollow Trail,"1.7
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7031917/south-maple-hollow-trail,"Alpine, UT",#268,4.0 (10),,,,,504',23',6%,18%,"6,163'","5,659'",Leashed,Unknown
Achtung Baby,"2.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7048663/achtung-baby,"Alpine, UT",#269,4.1 (7),,,,,33',532',5%,16%,"5,821'","5,317'",No Dogs,Allowed
Rusty Spur,"1.6
    mi",EASY/INTERMEDIATE,https://www.mtbproject.com/trail/175088/rusty-spur,"Moab, UT",#270,3.6 (17),Moab Trail Mix,https://www.mtbproject.com/club/7000305/moab-trail-mix,BLM Utah - Moab Field Office,https://www.blm.gov/office/moab-field-office,89',75',2%,7%,"4,628'","4,573'",Leashed,Not Allowed
Lost Prospector,"3.8
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/805183/lost-prospector,"Park City, UT",#271,3.9 (11),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,Park City Municipal,http://parkcity.org/,410',136',3%,25%,"7,250'","6,893'",Unknown,Unknown
Spring Hollow,"6.1
    mi",DIFFICULT,https://www.mtbproject.com/trail/7001139/spring-hollow,"North Logan, UT",#272,4.1 (7),"USFS - Uinta, Wasatch & Cache National Forests Office",http://www.fs.usda.gov/uwcnf,,,"3,605'",1',11%,25%,"8,615'","5,010'",Unknown,Unknown
Josephite Point Trail,"7.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/5933062/josephite-point-trail,"Manti, UT",#273,4.3 (3),Mountain Trails Foundation,https://www.mtbproject.com/club/630847/mountain-trails-foundation,USFS - Manti-La Sal National Forest Office,http://www.fs.usda.gov/mantilasal,778',831',4%,13%,"8,957'","8,571'",Unknown,Unknown
Serendipity Trail,"1.0
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7002710/serendipity-trail,"Naples, UT",#274,4.1 (7),BLM Utah - Vernal Office,http://www.blm.gov/ut/st/en/fo/vernal.html,,,3',379',7%,19%,"6,014'","5,638'",Off-leash,Unknown
Mule Shoe Trail,"2.2
    mi",INTERMEDIATE,https://www.mtbproject.com/trail/7002434/mule-shoe-trail,"Liberty, UT",#275,4.3 (3),"Weber County Government, Ogden, UT - Parks",http://www.co.weber.ut.us/parks/,,,423',263',6%,22%,"5,982'","5,621'",Unknown,Unknown
