trail_name,length,difficulty,longitude,latitude,trail_link,city,popularity,rating,local_club,local_club_site,land_manager,land_manager_site,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,dog_policy,e_bike_policy
Tech Loop,"0.8
    mi",DIFFICULT,33.381441,-111.393,https://www.mtbproject.com/trail/7025312/tech-loop,"Gold Camp, AZ",#163,4.5 (2),AZ State Land Department,http://www.azland.gov/,,,52',54',3%,7%,"2,173'","2,123'",Unknown,Unknown
Ridgeline Trail,"2.7
    mi",INTERMEDIATE/DIFFICULT,32.499782,-111.03697,https://www.mtbproject.com/trail/5506519/ridgeline-trail,"Catalina, AZ",#164,4.5 (2),"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,,,11',628',5%,15%,"4,212'","3,594'",Unknown,Unknown
Russ T. Fender,"0.9
    mi",INTERMEDIATE,34.56425,-112.543149,https://www.mtbproject.com/trail/7036139/russ-t-fender,"Prescott, AZ",#165,4.5 (2),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,201',12',5%,12%,"5,947'","5,746'",Leashed,Unknown
Ridge Trail (Difficult),"1.4
    mi",INTERMEDIATE/DIFFICULT,32.806371,-111.70273,https://www.mtbproject.com/trail/7013033/ridge-trail-difficult,"Casa Grande, AZ",#166,4.5 (2),Casa Grande Parks & Recreation,http://www.casagrandeaz.gov/rec/parks/,,,122',190',4%,16%,"1,818'","1,642'",Leashed,Allowed
8-Ball,"1.7
    mi",INTERMEDIATE,32.772417,-114.444379,https://www.mtbproject.com/trail/7011802/8-ball,"Fortuna Foothills, AZ",#167,4.5 (2),Desert Mountain Bikers of Yuma,https://www.mtbproject.com/club/7000176/desert-mountain-bikers-of-yuma,BLM Arizona - Yuma Field Office,http://www.blm.gov/az/st/en/prog/recreation/hiking/betty_kitch.html,55',240',3%,10%,627',387',Unknown,Unknown
Razorback,"0.7
    mi",DIFFICULT,32.790196,-114.471418,https://www.mtbproject.com/trail/7042855/razorback,"Fortuna Foothills, AZ",#168,4.5 (2),,,,,8',176',5%,12%,491',323',Unknown,Unknown
Bunny's Revenge,"1.7
    mi",EASY,32.125099,-110.780394,https://www.mtbproject.com/trail/7009764/bunnys-revenge,"Vail, AZ",#169,3.9 (13),,,,,30',31',1%,3%,"2,938'","2,907'",Unknown,Unknown
200 Trail,"3.9
    mi",DIFFICULT,34.225311,-111.304022,https://www.mtbproject.com/trail/7017422/200-trail,"Payson, AZ",#170,4.1 (9),USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,462',582',5%,16%,"5,021'","4,769'",Unknown,Unknown
South Diablo Trail,"1.5
    mi",INTERMEDIATE/DIFFICULT,33.791591,-111.817912,https://www.mtbproject.com/trail/7037296/south-diablo-trail,"Carefree, AZ",#171,4.1 (9),City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,64',136',2%,6%,"3,004'","2,898'",Leashed,Not Allowed
Sketch,"1.3
    mi",INTERMEDIATE/DIFFICULT,34.842212,-111.802613,https://www.mtbproject.com/trail/7013469/sketch,"West Sedona, AZ",#172,4.1 (8),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,156',175',5%,21%,"4,333'","4,239'",Unknown,Unknown
Kellog/Incinerator Ridge,"2.1
    mi",VERY DIFFICULT,32.414712,-110.71161,https://www.mtbproject.com/trail/683027/kellogincinerator-ridge,"Tanque Verde, AZ",#173,4.0 (10),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,70',985',9%,39%,"8,293'","7,378'",Unknown,Unknown
Rattler Trail,"5.1
    mi",DIFFICULT,35.206469,-114.08932,https://www.mtbproject.com/trail/7015753/rattler-trail,"Kingman, AZ",#174,4.0 (10),,,,,852',211',4%,12%,"4,283'","3,642'",Leashed,Unknown
Hohokam Trail,"3.6
    mi",INTERMEDIATE,32.023776,-110.606794,https://www.mtbproject.com/trail/7037757/hohokam-trail,"Vail, AZ",#175,3.9 (11),,,,,339',159',3%,11%,"3,752'","3,536'",Leashed,Unknown
Balancing Rock Trail #349,"3.2
    mi",INTERMEDIATE,34.606124,-112.533429,https://www.mtbproject.com/trail/7006905/balancing-rock-trail-349,"Williamson, AZ",#176,4.2 (6),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,276',422',4%,10%,"5,931'","5,597'",Unknown,Unknown
Mormon Trail,"1.1
    mi",DIFFICULT,33.366362,-112.031019,https://www.mtbproject.com/trail/7020540/mormon-trail,"Guadalupe, AZ",#177,4.2 (6),,,,,712',0',12%,34%,"1,986'","1,274'",Leashed,Unknown
Tonto Tank Trail,"2.7
    mi",EASY/INTERMEDIATE,33.6852,-111.770445,https://www.mtbproject.com/trail/7014397/tonto-tank-trail,"Rio Verde, AZ",#178,4.2 (6),,,,,0',434',3%,5%,"2,299'","1,865'",Leashed,Allowed
Dixie Mine Trail,"5.0
    mi",INTERMEDIATE/DIFFICULT,33.66829,-111.755173,https://www.mtbproject.com/trail/5400065/dixie-mine-trail,"Fountain Hills, AZ",#179,4.2 (5),,,,,445',458',3%,7%,"2,387'","1,998'",Unknown,Allowed
Spent Spade,"0.6
    mi",INTERMEDIATE,33.316637,-112.45223,https://www.mtbproject.com/trail/7032893/spent-spade,"Buckeye, AZ",#180,4.3 (3),West Valley Trail Alliance,https://www.mtbproject.com/club/7000163/west-valley-trail-alliance,,,0',62',2%,6%,"1,128'","1,065'",Leashed,Unknown
Anasazi Loop,"1.3
    mi",EASY,35.202043,-111.557319,https://www.mtbproject.com/trail/921173/anasazi-loop,"Flagstaff, AZ",#181,4.2 (6),Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,20',62',1%,3%,"6,805'","6,760'",Unknown,Unknown
Sunrise Trail,"4.4
    mi",DIFFICULT,33.602623,-111.810465,https://www.mtbproject.com/trail/4035016/sunrise-trail,"Fountain Hills, AZ",#182,3.8 (12),Maricopa County Parks,http://www.maricopa.gov/parks/,,,"1,120'",952',9%,30%,"2,850'","1,774'",Leashed,Not Allowed
Thunder Mountain,"1.9
    mi",DIFFICULT,34.873304,-111.812971,https://www.mtbproject.com/trail/7038548/thunder-mountain,"West Sedona, AZ",#183,3.9 (11),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,286',240',5%,25%,"4,796'","4,580'",Unknown,Unknown
Hermit Road Greenway,"2.5
    mi",EASY,36.0606,-112.182691,https://www.mtbproject.com/trail/7012952/hermit-road-greenway,"Grand Canyon Village, AZ",#184,4.2 (5),,,,,76',159',2%,7%,"6,820'","6,726'",Unknown,Unknown
Window Rock Loop,"1.2
    mi",EASY/INTERMEDIATE,32.559077,-111.009527,https://www.mtbproject.com/trail/7017449/window-rock-loop,"Catalina, AZ",#185,4.2 (6),,,,,26',85',2%,4%,"3,718'","3,653'",Unknown,Unknown
Branding Iron Trail,"0.9
    mi",EASY/INTERMEDIATE,33.788642,-111.810905,https://www.mtbproject.com/trail/7012588/branding-iron-trail,"Carefree, AZ",#186,4.2 (6),City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,98',5',2%,6%,"2,996'","2,899'",Unknown,Not Allowed
Cone Mountain Trail,"1.9
    mi",INTERMEDIATE,33.773134,-111.852156,https://www.mtbproject.com/trail/7009370/cone-mountain-trail,"Carefree, AZ",#187,4.0 (9),City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,163',129',3%,8%,"2,700'","2,599'",Leashed,Not Allowed
High Desert Trail,"4.3
    mi",INTERMEDIATE,33.788127,-111.838375,https://www.mtbproject.com/trail/7023665/high-desert-trail,"Carefree, AZ",#188,4.2 (6),,,,,250',110',2%,4%,"2,928'","2,734'",Leashed,Not Allowed
Continental Loop,"1.8
    mi",EASY/INTERMEDIATE,35.201184,-111.560922,https://www.mtbproject.com/trail/920880/continental-loop,"Flagstaff, AZ",#189,4.3 (4),USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,,,66',68',1%,5%,"6,865'","6,804'",Unknown,Unknown
Tortolita Access Trail,"2.9
    mi",EASY/INTERMEDIATE,32.478679,-110.922579,https://www.mtbproject.com/trail/7034460/tortolita-access-trail,"Catalina, AZ",#190,4.2 (5),,,,,151',100',2%,8%,"3,092'","2,963'",Unknown,Unknown
Bo's Loop,"1.6
    mi",EASY/INTERMEDIATE,32.158635,-110.779145,https://www.mtbproject.com/trail/7056287/bos-loop,"Tanque Verde, AZ",#191,4.3 (4),,,,,89',56',2%,5%,"2,837'","2,790'",Unknown,Not Allowed
Double Butte Loop,"2.3
    mi",EASY/INTERMEDIATE,33.46596,-111.952426,https://www.mtbproject.com/trail/7008979/double-butte-loop,"Tempe Junction, AZ",#192,3.4 (20),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,114',113',2%,5%,"1,357'","1,244'",Leashed,Unknown
Last Frontier,"4.3
    mi",DIFFICULT,34.866656,-111.859486,https://www.mtbproject.com/trail/7013615/last-frontier,"West Sedona, AZ",#193,3.7 (14),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,319',581',4%,18%,"4,453'","4,123'",Unknown,Unknown
Teacup,"2.1
    mi",DIFFICULT,34.874336,-111.796433,https://www.mtbproject.com/trail/4964091/teacup,"West Sedona, AZ",#194,3.7 (15),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,201',289',4%,15%,"4,683'","4,468'",Unknown,Unknown
Willow Trail #347,"6.6
    mi",INTERMEDIATE/DIFFICULT,34.593783,-112.508626,https://www.mtbproject.com/trail/4909174/willow-trail-347,"Prescott, AZ",#195,4.0 (8),,,,,496',790',4%,18%,"5,889'","5,189'",Unknown,Unknown
Scenic Trail,"3.5
    mi",INTERMEDIATE,33.700956,-111.718594,https://www.mtbproject.com/trail/7011563/scenic-trail,"Rio Verde, AZ",#196,3.7 (15),Maricopa County Parks,http://www.maricopa.gov/parks/,,,243',272',3%,12%,"2,003'","1,746'",Unknown,Allowed
Jedi Trail,"1.5
    mi",DIFFICULT,35.266414,-111.635302,https://www.mtbproject.com/trail/4236309/jedi-trail,"Flagstaff, AZ",#197,3.9 (10),Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,Coconino County and the City of Flagstaff,http://www.flagstaff.az.gov/index.aspx?NID=1379,59',366',5%,19%,"8,350'","8,013'",Unknown,Unknown
Feldmeier Trail #330,"2.6
    mi",INTERMEDIATE/DIFFICULT,34.494847,-112.442124,https://www.mtbproject.com/trail/7007536/feldmeier-trail-330,"Prescott, AZ",#198,3.9 (10),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,81',489',4%,11%,"6,126'","5,708'",Unknown,Unknown
Bell Pass Trail,"3.3
    mi",DIFFICULT,33.64695,-111.836821,https://www.mtbproject.com/trail/6535101/bell-pass-trail,"Fountain Hills, AZ",#199,4.0 (8),Desert Foothills Mountain Bike Association,https://www.mtbproject.com/club/6282206/desert-foothills-mountain-bike-association,City of Scottsdale,http://www.scottsdaleaz.gov/preserve,"1,187'",622',10%,35%,"3,197'","2,021'",Unknown,Not Allowed
Whiskey Bottle Trail,"3.1
    mi",INTERMEDIATE,33.74645,-111.795382,https://www.mtbproject.com/trail/7009191/whiskey-bottle-trail,"Rio Verde, AZ",#200,3.9 (10),City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,287',64',2%,9%,"2,770'","2,548'",Leashed,Not Allowed
Pass Mountain Trail,"7.2
    mi",DIFFICULT,33.466118,-111.597636,https://www.mtbproject.com/trail/5186330/pass-mountain-trail,"Apache Junction, AZ",#201,3.0 (26),,,,,"1,141'","1,139'",6%,39%,"2,632'","1,889'",Unknown,Unknown
Iron King Trail,"4.2
    mi",EASY,34.615011,-112.347073,https://www.mtbproject.com/trail/7001408/iron-king-trail,"Prescott Valley, AZ",#202,3.9 (9),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,,,217',87',1%,3%,"5,195'","4,999'",Leashed,Unknown
Warpaint Loop,"1.6
    mi",EASY/INTERMEDIATE,33.333931,-112.022862,https://www.mtbproject.com/trail/5371207/warpaint-loop,"Guadalupe, AZ",#203,3.7 (13),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,95',103',2%,4%,"1,476'","1,383'",Unknown,Allowed
Blevins,"3.1
    mi",EASY/INTERMEDIATE,33.46602,-111.607625,https://www.mtbproject.com/trail/4365245/blevins,"Apache Junction, AZ",#204,3.6 (14),Maricopa County Parks,http://www.maricopa.gov/parks/,,,135',137',2%,5%,"1,898'","1,802'",Unknown,Allowed
136th St. Express,"7.0
    mi",EASY,33.742259,-111.788833,https://www.mtbproject.com/trail/7009300/136th-st-express,"Rio Verde, AZ",#205,4.0 (7),City of Scottsdale,http://www.scottsdaleaz.gov/preserve,,,260',59',1%,4%,"2,698'","2,494'",Leashed,Not Allowed
Ironwood Trail,"4.9
    mi",EASY/INTERMEDIATE,32.193862,-111.166382,https://www.mtbproject.com/trail/7000586/ironwood-trail,"Tucson Estates, AZ",#206,3.9 (9),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,353',7',1%,6%,"2,775'","2,428'",Unknown,Unknown
Coachwhip Trail,"2.6
    mi",INTERMEDIATE,33.655079,-111.775314,https://www.mtbproject.com/trail/3570112/coachwhip-trail,"Fountain Hills, AZ",#207,4.0 (7),,,,,215',350',4%,9%,"2,433'","2,176'",Unknown,Allowed
#297 Smith Ravine Trail,"2.9
    mi",INTERMEDIATE/DIFFICULT,34.484414,-112.373241,https://www.mtbproject.com/trail/4575360/297-smith-ravine-trail,"Prescott, AZ",#208,4.0 (7),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,USFS - Prescott National Forest Office,http://www.fs.usda.gov/prescott/,"1,040'",156',8%,15%,"6,953'","6,070'",Unknown,Unknown
Ramshead,"1.1
    mi",INTERMEDIATE,34.830194,-111.803126,https://www.mtbproject.com/trail/4969443/ramshead,"West Sedona, AZ",#209,4.0 (7),Verde Valley Cyclists Coalition,https://www.mtbproject.com/club/4920204/verde-valley-cyclists-coalition,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,84',76',3%,6%,"4,092'","4,043'",Unknown,Unknown
Moon Rock,"1.5
    mi",EASY/INTERMEDIATE,33.463787,-111.615324,https://www.mtbproject.com/trail/4210312/moon-rock,"Apache Junction, AZ",#210,3.9 (9),Maricopa County Parks,http://www.maricopa.gov/parks/,,,28',73',1%,3%,"1,871'","1,798'",Unknown,Allowed
Old Post Trail,"2.7
    mi",INTERMEDIATE/DIFFICULT,34.833231,-111.81051,https://www.mtbproject.com/trail/4940467/old-post-trail,"West Sedona, AZ",#211,3.6 (14),,,,,461',191',5%,10%,"4,430'","4,029'",Unknown,Unknown
Toothaker,"4.2
    mi",INTERMEDIATE/DIFFICULT,33.373572,-112.373502,https://www.mtbproject.com/trail/7002869/toothaker,"Goodyear, AZ",#212,3.6 (10),West Valley Trail Alliance,https://www.mtbproject.com/club/7000163/west-valley-trail-alliance,Maricopa County Parks,http://www.maricopa.gov/parks/,371',199',3%,12%,"1,347'","1,028'",Unknown,Allowed
Skywalker Trail #669,"1.9
    mi",INTERMEDIATE,34.847727,-111.813636,https://www.mtbproject.com/trail/7046428/skywalker-trail-669,"West Sedona, AZ",#213,3.8 (10),,,,,234',229',5%,13%,"4,575'","4,361'",Unknown,Unknown
Cliff Walk Trail,"2.9
    mi",EASY/INTERMEDIATE,33.769662,-112.018173,https://www.mtbproject.com/trail/7004149/cliff-walk-trail,"Cave Creek, AZ",#214,4.0 (6),,,,,118',25',1%,5%,"1,864'","1,749'",Leashed,Unknown
Bursera Trail,"3.0
    mi",DIFFICULT,33.306607,-112.098429,https://www.mtbproject.com/trail/5824717/bursera-trail,"Laveen, AZ",#215,3.7 (11),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,901',612',10%,27%,"1,881'","1,310'",Unknown,Allowed
Upper Brookbank,"2.1
    mi",INTERMEDIATE/DIFFICULT,35.267236,-111.633506,https://www.mtbproject.com/trail/914207/upper-brookbank,"Flagstaff, AZ",#216,4.0 (6),Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,499',190',6%,22%,"8,691'","8,325'",Unknown,Unknown
Butterfield,"2.6
    mi",INTERMEDIATE,33.369146,-112.373646,https://www.mtbproject.com/trail/7002877/butterfield,"Goodyear, AZ",#217,4.0 (6),Maricopa County Parks,http://www.maricopa.gov/parks/,,,318',132',3%,10%,"1,310'",995',Unknown,Allowed
Thumper,"2.1
    mi",INTERMEDIATE/DIFFICULT,34.78737,-111.999776,https://www.mtbproject.com/trail/3616402/thumper,"Cottonwood, AZ",#218,4.0 (6),Arizona State Parks,http://azstateparks.com/index.html,,,98',350',4%,11%,"3,878'","3,556'",Unknown,Unknown
Maverick Trail,"1.5
    mi",INTERMEDIATE,33.775494,-111.837621,https://www.mtbproject.com/trail/7023672/maverick-trail,"Carefree, AZ",#219,3.8 (10),,,,,78',27',1%,4%,"2,797'","2,737'",Leashed,Unknown
Rainbow Valley,"4.4
    mi",INTERMEDIATE,33.370609,-112.373142,https://www.mtbproject.com/trail/7002871/rainbow-valley,"Goodyear, AZ",#220,3.9 (8),West Valley Trail Alliance,https://www.mtbproject.com/club/7000163/west-valley-trail-alliance,Maricopa County Parks,http://www.maricopa.gov/parks/,620',449',5%,15%,"1,358'","1,026'",Unknown,Allowed
Middlegate Trail,"2.5
    mi",INTERMEDIATE/DIFFICULT,32.494152,-110.867413,https://www.mtbproject.com/trail/4744021/middlegate-trail,"Catalina, AZ",#221,3.5 (15),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,AZ State Land Department,http://www.azland.gov/,281',341',5%,15%,"3,503'","3,187'",Unknown,Unknown
Goat Trail,"0.3
    mi",DIFFICULT,33.319294,-112.047907,https://www.mtbproject.com/trail/3637887/goat-trail,"Guadalupe, AZ",#222,3.9 (8),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,7',191',11%,19%,"1,773'","1,589'",Unknown,Allowed
Bittersweet,"2.0
    mi",INTERMEDIATE/DIFFICULT,32.165464,-111.031733,https://www.mtbproject.com/trail/6186277/bittersweet,"Drexel Heights, AZ",#223,3.9 (8),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,148',100',2%,15%,"2,751'","2,662'",Unknown,Unknown
Lime Kiln,"2.6
    mi",INTERMEDIATE,34.766282,-111.988744,https://www.mtbproject.com/trail/3616803/lime-kiln,"Cottonwood, AZ",#224,4.0 (5),Arizona State Parks,http://azstateparks.com/index.html,,,117',295',3%,16%,"3,608'","3,322'",Unknown,Unknown
Rock Wren Trail,"2.0
    mi",INTERMEDIATE/DIFFICULT,32.201106,-111.045603,https://www.mtbproject.com/trail/4881415/rock-wren-trail,"Tucson Estates, AZ",#225,3.9 (8),,,,,99',157',2%,10%,"2,892'","2,783'",Unknown,Unknown
Lakeshore Trail,"1.8
    mi",DIFFICULT,34.598767,-112.410099,https://www.mtbproject.com/trail/7012736/lakeshore-trail,"Prescott Valley, AZ",#226,4.0 (5),Prescott Mountain Bike Alliance,https://www.mtbproject.com/club/31782/prescott-mountain-bike-alliance,"City of Prescott, AZ - Recreation Services",http://cityofprescott.net/services/parks/,143',137',3%,11%,"5,219'","5,155'",Leashed,Unknown
Windgate Pass Trail,"3.1
    mi",DIFFICULT,33.659169,-111.839382,https://www.mtbproject.com/trail/7020324/windgate-pass-trail,"Fountain Hills, AZ",#227,4.0 (5),,,,,902',475',9%,29%,"3,014'","2,174'",Leashed,Not Allowed
Black Canyon Trail (BCT) - Bumblebee TH to Treasure Mine Rd,"10.7
    mi",INTERMEDIATE,34.151277,-112.153181,https://www.mtbproject.com/trail/4622458/black-canyon-trail-bct-bumblebee-th-to-treasure-mine-rd,"Black Canyon City, AZ",#228,3.9 (7),Black Canyon Trail Coalition,https://www.mtbproject.com/club/4676322/black-canyon-trail-coalition,BLM Arizona - Hassayampa Field Office,http://www.blm.gov/az/st/en/fo/hassayampa_field_office.html,"1,060'",759',3%,11%,"3,115'","2,499'",Unknown,Allowed
Circumference Trail,"5.7
    mi",DIFFICULT,33.733482,-112.143605,https://www.mtbproject.com/trail/7000364/circumference-trail,"Anthem, AZ",#229,3.0 (24),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,702',699',5%,19%,"1,776'","1,487'",Leashed,Unknown
El Grupo Loop,"2.5
    mi",INTERMEDIATE,32.192319,-111.037258,https://www.mtbproject.com/trail/7055973/el-grupo-loop,"Tucson Estates, AZ",#230,4.0 (5),"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,,,208',208',3%,11%,"2,711'","2,506'",Unknown,Not Allowed
Maus,"3.4
    mi",INTERMEDIATE,32.517789,-111.012797,https://www.mtbproject.com/trail/7017448/maus,"Catalina, AZ",#231,4.0 (5),,,,,247',261',3%,13%,"3,739'","3,528'",Unknown,Unknown
Lower Miller Canyon Trail,"2.0
    mi",INTERMEDIATE/DIFFICULT,31.416381,-110.275792,https://www.mtbproject.com/trail/7006085/lower-miller-canyon-trail,"Sierra Vista Southeast, AZ",#232,4.0 (5),,,,,2',636',6%,14%,"5,713'","5,077'",Unknown,Unknown
Outside Loop (Purple),"5.4
    mi",INTERMEDIATE,34.610767,-112.465705,https://www.mtbproject.com/trail/7033193/outside-loop-purple,"Prescott, AZ",#233,4.0 (5),,,,,288',279',2%,7%,"5,443'","5,256'",Leashed,Unknown
High Point,"4.2
    mi",INTERMEDIATE,32.710504,-110.895297,https://www.mtbproject.com/trail/7024404/high-point,"Oracle, AZ",#234,4.0 (5),,,,,299',336',3%,9%,"4,112'","3,804'",Unknown,Unknown
Bridge Trail,"0.9
    mi",INTERMEDIATE/DIFFICULT,35.137253,-111.696316,https://www.mtbproject.com/trail/7017288/bridge-trail,"Kachina Village, AZ",#235,4.0 (5),Coconino County and the City of Flagstaff,http://www.flagstaff.az.gov/index.aspx?NID=1379,,,45',43',2%,5%,"7,066'","7,046'",Unknown,Unknown
Power Rd Trail,"1.6
    mi",INTERMEDIATE,33.480947,-111.683209,https://www.mtbproject.com/trail/547484/power-rd-trail,"Fountain Hills, AZ",#236,4.0 (5),USFS - Tonto National Forest Office,http://www.fs.usda.gov/tonto/,,,18',83',1%,4%,"1,581'","1,503'",Unknown,Unknown
Gateway Trail,"1.5
    mi",EASY/INTERMEDIATE,33.811201,-111.979096,https://www.mtbproject.com/trail/7012329/gateway-trail,"Cave Creek, AZ",#237,4.0 (5),,,,,34',102',2%,6%,"1,960'","1,862'",Unknown,Unknown
Skunk Canyon Connector,"1.4
    mi",INTERMEDIATE/DIFFICULT,35.15182,-111.625618,https://www.mtbproject.com/trail/7038081/skunk-canyon-connector,"Flagstaff, AZ",#238,4.0 (5),USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,,,0',189',3%,8%,"6,881'","6,692'",Off-leash,Unknown
Taliesin Trail,"2.3
    mi",INTERMEDIATE,33.623249,-111.828727,https://www.mtbproject.com/trail/4037271/taliesin-trail,"Fountain Hills, AZ",#239,4.0 (5),Maricopa County Parks,http://www.maricopa.gov/parks/,,,3',428',4%,6%,"1,968'","1,543'",Unknown,Not Allowed
Caliche Flats Trail,"2.4
    mi",EASY/INTERMEDIATE,32.1978,-111.134509,https://www.mtbproject.com/trail/7010590/caliche-flats-trail,"Tucson Estates, AZ",#240,4.0 (5),"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,,,5',117',1%,3%,"2,543'","2,429'",Unknown,Unknown
50 Year Trail Segment,"3.8
    mi",INTERMEDIATE,32.417829,-110.93838,https://www.mtbproject.com/trail/4742230/50-year-trail-segment,"Catalina, AZ",#241,3.5 (13),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,AZ State Land Department,http://www.azland.gov/,394',57',2%,13%,"3,537'","3,196'",Unknown,Unknown
Cat Peaks,"1.1
    mi",INTERMEDIATE,33.458451,-111.594573,https://www.mtbproject.com/trail/4365689/cat-peaks,"Apache Junction, AZ",#242,3.8 (9),Maricopa County Parks,http://www.maricopa.gov/parks/,,,136',105',4%,7%,"1,927'","1,797'",Unknown,Allowed
Black Rock Loop,"1.8
    mi",INTERMEDIATE,32.280073,-111.093169,https://www.mtbproject.com/trail/4730005/black-rock-loop,"Flowing Wells, AZ",#243,3.8 (9),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,"Pima County - Natural Resources, Parks and Recreation",http://webcms.pima.gov/government/natural_resources_parks_and_recreation/,88',85',2%,4%,"2,582'","2,522'",Unknown,Unknown
Corona de Loma,"1.6
    mi",DIFFICULT,33.342231,-112.045087,https://www.mtbproject.com/trail/7001972/corona-de-loma,"Guadalupe, AZ",#244,3.5 (14),City of Phoenix - Trails and Desert Preserves,http://phoenix.gov/recreation/rec/parks/preserves/index.html,,,120',843',11%,25%,"2,354'","1,631'",Leashed,Allowed
Campbell Mesa Loop Trail,"4.8
    mi",EASY/INTERMEDIATE,35.20114,-111.560913,https://www.mtbproject.com/trail/921204/campbell-mesa-loop-trail,"Flagstaff, AZ",#245,3.9 (7),Flagstaff Biking Organization,https://www.mtbproject.com/club/910893/flagstaff-biking-organization,USFS - Coconino National Forest Office,http://www.fs.usda.gov/coconino,263',236',2%,6%,"6,833'","6,699'",Unknown,Unknown
Brewer Trail #212,"0.8
    mi",DIFFICULT,34.855777,-111.779976,https://www.mtbproject.com/trail/7046427/brewer-trail-212,"Sedona, AZ",#246,4.0 (4),,,,,1',323',8%,20%,"4,597'","4,275'",Unknown,Unknown
Mt Bigelow,"0.9
    mi",INTERMEDIATE,32.416054,-110.713909,https://www.mtbproject.com/trail/683924/mt-bigelow,"Tanque Verde, AZ",#247,4.0 (4),Sonoran Desert Mountain Bicyclists,https://www.mtbproject.com/club/112648/sonoran-desert-mountain-bicyclists,USFS - Coronado National Forest Office,http://www.fs.usda.gov/coronado,0',541',12%,20%,"8,499'","7,958'",Unknown,Unknown
